Dataset,Task,Fold,Method,n_features,RMSE,MAE
FPG,regression,1,Univariate + Ridge,20,27.944878878237283,19.444164106196848
FPG,regression,1,Longitudinal-LASSO + Ridge,20,27.673235450567653,19.557383040813583
FPG,regression,2,Univariate + Ridge,20,26.85114473074061,20.33141350363034
FPG,regression,2,Longitudinal-LASSO + Ridge,20,25.95452201346799,19.26749844838891
FPG,regression,3,Univariate + Ridge,20,28.197848854344162,20.548098520214538
FPG,regression,3,Longitudinal-LASSO + Ridge,20,28.220682819025143,20.568711279982644
FPG,regression,4,Univariate + Ridge,20,28.05636260793728,20.11829350305017
FPG,regression,4,Longitudinal-LASSO + Ridge,20,28.444752945400726,20.824450456096095
FPG,regression,5,Univariate + Ridge,20,27.03880037619024,19.475495189667697
FPG,regression,5,Longitudinal-LASSO + Ridge,20,26.998862277653664,19.54814201644231
