Dataset,Task,Fold,Method,n_features,RMSE,MAE
FPG,regression,1,Univariate + Ridge,3,26.73998236564266,18.74254896422796
FPG,regression,1,Longitudinal-LASSO + Ridge,3,25.9068462433216,18.20153596385691
FPG,regression,2,Univariate + Ridge,3,26.4950068720846,19.9169911739244
FPG,regression,2,Longitudinal-LASSO + Ridge,3,26.468447174935932,20.054802804107336
FPG,regression,3,Univariate + Ridge,3,28.124196948230143,20.30164414989838
FPG,regression,3,Longitudinal-LASSO + Ridge,3,28.6087083667357,20.40919934825891
FPG,regression,4,Univariate + Ridge,3,28.41872567834144,20.59689141100753
FPG,regression,4,Longitudinal-LASSO + Ridge,3,28.879923900918545,20.78494643866578
FPG,regression,5,Univariate + Ridge,3,28.892979847014068,20.309065188269788
FPG,regression,5,Longitudinal-LASSO + Ridge,3,28.266174125998038,20.175937964395796
