Dataset,Task,Fold,Method,n_features,RMSE,MAE
IGG,regression,1,Univariate + Ridge,20,0.7038138378868126,0.5416244678068483
IGG,regression,1,Longitudinal-LASSO + Ridge,20,0.6837374231170111,0.5383340789317967
IGG,regression,2,Univariate + Ridge,20,0.6841284152052239,0.5561922958244147
IGG,regression,2,Longitudinal-LASSO + Ridge,20,0.6979802691760064,0.5841249262221476
IGG,regression,3,Univariate + Ridge,20,0.8540986417039098,0.6454882237055307
IGG,regression,3,Longitudinal-LASSO + Ridge,20,0.8472325472094805,0.6624828960337219
IGG,regression,4,Univariate + Ridge,20,0.735658984766871,0.5895630289816177
IGG,regression,4,Longitudinal-LASSO + Ridge,20,0.8363217307622846,0.6717191354793675
IGG,regression,5,Univariate + Ridge,20,0.9914491777595599,0.6945758915150485
IGG,regression,5,Longitudinal-LASSO + Ridge,20,0.9696393641622791,0.6944620273136751
