Dataset,Task,Fold,Method,n_features,RMSE,MAE
IGG,regression,1,Univariate + Ridge,3,0.7519350520550044,0.5818637920280282
IGG,regression,1,Longitudinal-LASSO + Ridge,3,0.7175743832006264,0.5509738878806046
IGG,regression,2,Univariate + Ridge,3,0.6698786211960333,0.5499309068478828
IGG,regression,2,Longitudinal-LASSO + Ridge,3,0.6652877037207823,0.5443400468824137
IGG,regression,3,Univariate + Ridge,3,0.797309445343635,0.5741782739719223
IGG,regression,3,Longitudinal-LASSO + Ridge,3,0.7920021291669637,0.5829207394406928
IGG,regression,4,Univariate + Ridge,3,0.735124591101529,0.5751560467634687
IGG,regression,4,Longitudinal-LASSO + Ridge,3,0.7309661235576083,0.586975090109304
IGG,regression,5,Univariate + Ridge,3,0.9963810455923817,0.7031373003821251
IGG,regression,5,Longitudinal-LASSO + Ridge,3,0.9623963345968675,0.6824806163236731
