Dataset,Task,Fold,Method,n_features,RMSE,MAE
IGM,regression,1,Univariate + Ridge,20,0.9481091972252668,0.749619896512265
IGM,regression,1,Longitudinal-LASSO + Ridge,20,1.015425607395396,0.8130015555248862
IGM,regression,2,Univariate + Ridge,20,0.9587536951015279,0.7606356224548481
IGM,regression,2,Longitudinal-LASSO + Ridge,20,0.9709148292854545,0.7720991472068003
IGM,regression,3,Univariate + Ridge,20,1.0647237676713726,0.8258867240890647
IGM,regression,3,Longitudinal-LASSO + Ridge,20,1.0296975598525853,0.8143915391055873
IGM,regression,4,Univariate + Ridge,20,0.9229724649691433,0.7476081448597373
IGM,regression,4,Longitudinal-LASSO + Ridge,20,0.9573147966568413,0.7801697055347525
IGM,regression,5,Univariate + Ridge,20,1.4391135906872883,1.0361903218736213
IGM,regression,5,Longitudinal-LASSO + Ridge,20,1.3845101683133931,1.043716607690447
