Dataset,Task,Fold,Method,n_features,RMSE,MAE
IGM,regression,1,Univariate + Ridge,3,0.9693591398711219,0.7734761182636476
IGM,regression,1,Longitudinal-LASSO + Ridge,3,0.9646192751692689,0.773321788096959
IGM,regression,2,Univariate + Ridge,3,0.9426450086172624,0.7765014567706084
IGM,regression,2,Longitudinal-LASSO + Ridge,3,0.9659280197961034,0.784126271886797
IGM,regression,3,Univariate + Ridge,3,1.0343989671804616,0.7896985800871301
IGM,regression,3,Longitudinal-LASSO + Ridge,3,1.0003704667069486,0.8142404459097616
IGM,regression,4,Univariate + Ridge,3,0.9392612535921736,0.7489823081916581
IGM,regression,4,Longitudinal-LASSO + Ridge,3,0.9787012079177334,0.7876751378386193
IGM,regression,5,Univariate + Ridge,3,1.412447258412571,1.0380763468842644
IGM,regression,5,Longitudinal-LASSO + Ridge,3,1.4291366164409773,1.0504762286520062
