Dataset,Task,Fold,Method,n_features,RMSE,MAE
TRA,regression,1,Univariate + Ridge,20,0.9552873615920852,0.7363653779481211
TRA,regression,1,Longitudinal-LASSO + Ridge,20,0.9652101814445314,0.7154018051018218
TRA,regression,2,Univariate + Ridge,20,1.0377380714065154,0.8180702171773956
TRA,regression,2,Longitudinal-LASSO + Ridge,20,0.9770872584739767,0.7823699621473175
TRA,regression,3,Univariate + Ridge,20,0.9411522604004278,0.7267744838007308
TRA,regression,3,Longitudinal-LASSO + Ridge,20,1.0279346514019068,0.8053688362159216
TRA,regression,4,Univariate + Ridge,20,1.0096233935865357,0.8335835066874129
TRA,regression,4,Longitudinal-LASSO + Ridge,20,0.9563697771444604,0.7572705465909374
TRA,regression,5,Univariate + Ridge,20,1.253082426047239,0.9795251201039203
TRA,regression,5,Longitudinal-LASSO + Ridge,20,1.2835208470961519,0.9632508326879263
