Dataset,Task,Fold,Method,n_features,RMSE,MAE
TRA,regression,1,Univariate + Ridge,3,0.9265309153159079,0.7099491673532013
TRA,regression,1,Longitudinal-LASSO + Ridge,3,0.9644718780469911,0.7556856158557768
TRA,regression,2,Univariate + Ridge,3,1.0387111221124898,0.8248435728842893
TRA,regression,2,Longitudinal-LASSO + Ridge,3,1.0407143907736527,0.8419859717322279
TRA,regression,3,Univariate + Ridge,3,0.9322981789024929,0.7285065107521205
TRA,regression,3,Longitudinal-LASSO + Ridge,3,0.9464537813376386,0.7302198348015959
TRA,regression,4,Univariate + Ridge,3,1.0007256598540342,0.8178406321417283
TRA,regression,4,Longitudinal-LASSO + Ridge,3,1.018436079940507,0.8425239851016434
TRA,regression,5,Univariate + Ridge,3,1.2297447887098265,0.9205159879519165
TRA,regression,5,Longitudinal-LASSO + Ridge,3,1.2574057648955503,0.9508103893811779
