Dataset,Task,Fold,Method,n_features,RMSE,MAE
TRB,regression,1,Univariate + Ridge,20,1.1266548452342227,0.9305466573941708
TRB,regression,1,Longitudinal-LASSO + Ridge,20,1.1230056846660246,0.9279751477122935
TRB,regression,2,Univariate + Ridge,20,1.133595579868193,0.9095936069990261
TRB,regression,2,Longitudinal-LASSO + Ridge,20,1.0879892396402484,0.8782386248144207
TRB,regression,3,Univariate + Ridge,20,1.204488664673304,0.9301065051604379
TRB,regression,3,Longitudinal-LASSO + Ridge,20,1.2983481330237339,1.0034105209888173
TRB,regression,4,Univariate + Ridge,20,1.0949898285814388,0.8909715698212897
TRB,regression,4,Longitudinal-LASSO + Ridge,20,1.1654617159460388,0.9274904819694375
TRB,regression,5,Univariate + Ridge,20,1.402015521581505,1.1271025263977799
TRB,regression,5,Longitudinal-LASSO + Ridge,20,1.4598697890653056,1.1654619372329083
