Dataset,Task,Fold,Method,n_features,RMSE,MAE
TRB,regression,1,Univariate + Ridge,3,1.0560263270758876,0.8574389120906248
TRB,regression,1,Longitudinal-LASSO + Ridge,3,1.1051925888313117,0.9095151447670106
TRB,regression,2,Univariate + Ridge,3,1.1392854172176814,0.9070693135430443
TRB,regression,2,Longitudinal-LASSO + Ridge,3,1.1574606299640875,0.9454071512451033
TRB,regression,3,Univariate + Ridge,3,1.28347347159166,1.0234213107496086
TRB,regression,3,Longitudinal-LASSO + Ridge,3,1.2445275796741804,0.9673243184500299
TRB,regression,4,Univariate + Ridge,3,1.0850121483346031,0.8959007380806809
TRB,regression,4,Longitudinal-LASSO + Ridge,3,1.0880388025403007,0.9045812739395221
TRB,regression,5,Univariate + Ridge,3,1.3747422276861139,1.1001909640604293
TRB,regression,5,Longitudinal-LASSO + Ridge,3,1.4556574386309915,1.1795554152775418
