Dataset,Metric,Fold,Improvement
FPG,RMSE,1,0.8331361223210614
FPG,RMSE,2,0.026559697148670125
FPG,RMSE,3,-0.48451141850555857
FPG,RMSE,4,-0.4611982225771065
FPG,RMSE,5,0.6268057210160265
IGG,RMSE,1,0.03436066885437805
IGG,RMSE,2,0.004590917475250977
IGG,RMSE,3,0.005307316176671351
IGG,RMSE,4,0.004158467543920685
IGG,RMSE,5,0.033984710995514034
IGM,RMSE,1,0.004739864701853169
IGM,RMSE,2,-0.023283011178841018
IGM,RMSE,3,0.034028500473513024
IGM,RMSE,4,-0.0394399543255598
IGM,RMSE,5,-0.01668935802840621
PE,AUROC,1,0.17171717171717177
PE,AUROC,2,-1.1102230246251565e-16
PE,AUROC,3,0.19318181818181818
PE,AUROC,4,0.1250000000000001
PE,AUROC,5,0.05681818181818188
TRA,RMSE,1,-0.03794096273108316
TRA,RMSE,2,-0.0020032686611630712
TRA,RMSE,3,-0.014155602435145798
TRA,RMSE,4,-0.017710420086472833
TRA,RMSE,5,-0.02766097618572383
TRB,RMSE,1,-0.049166261755424046
TRB,RMSE,2,-0.0181752127464061
TRB,RMSE,3,0.03894589191747966
TRB,RMSE,4,-0.0030266542056975876
TRB,RMSE,5,-0.08091521094487741
