Dataset,Fold,Method,Feature,StabilityFrequency
FPG,1,Univariate + Ridge,Body_weight,
FPG,1,Univariate + Ridge,Cl,
FPG,1,Univariate + Ridge,Diastolic_blood_pressure,
FPG,1,Univariate + Ridge,Drinking_habit,
FPG,1,Univariate + Ridge,HbA1c_NGSP,
FPG,1,Univariate + Ridge,Hematocrit,
FPG,1,Univariate + Ridge,Hemoglobin,
FPG,1,Univariate + Ridge,History_of_kidney_disease,
FPG,1,Univariate + Ridge,Initial_body_height,
FPG,1,Univariate + Ridge,LDL_C,
FPG,1,Univariate + Ridge,Na,
FPG,1,Univariate + Ridge,Pulse_rate,
FPG,1,Univariate + Ridge,Red_blood_cell,
FPG,1,Univariate + Ridge,Triglyceride,
FPG,1,Univariate + Ridge,Urinary_protein,
FPG,1,Univariate + Ridge,Urinary_sugar,
FPG,1,Univariate + Ridge,age,
FPG,1,Univariate + Ridge,eGFR,
FPG,1,Univariate + Ridge,sex,
FPG,1,Univariate + Ridge,γ_GTP,
FPG,1,Longitudinal-LASSO + Ridge,ALT,1.0
FPG,1,Longitudinal-LASSO + Ridge,AST,1.0
FPG,1,Longitudinal-LASSO + Ridge,BMI,1.0
FPG,1,Longitudinal-LASSO + Ridge,Body_weight,1.0
FPG,1,Longitudinal-LASSO + Ridge,Cl,1.0
FPG,1,Longitudinal-LASSO + Ridge,Creatinine,1.0
FPG,1,Longitudinal-LASSO + Ridge,HDL_C,1.0
FPG,1,Longitudinal-LASSO + Ridge,HbA1c_NGSP,1.0
FPG,1,Longitudinal-LASSO + Ridge,Hematocrit,1.0
FPG,1,Longitudinal-LASSO + Ridge,Hemoglobin,1.0
FPG,1,Longitudinal-LASSO + Ridge,K,1.0
FPG,1,Longitudinal-LASSO + Ridge,Na,1.0
FPG,1,Longitudinal-LASSO + Ridge,Platele,1.0
FPG,1,Longitudinal-LASSO + Ridge,Red_blood_cell,1.0
FPG,1,Longitudinal-LASSO + Ridge,Triglyceride,1.0
FPG,1,Longitudinal-LASSO + Ridge,Urinary_protein,1.0
FPG,1,Longitudinal-LASSO + Ridge,Urinary_sugar,1.0
FPG,1,Longitudinal-LASSO + Ridge,eGFR,1.0
FPG,1,Longitudinal-LASSO + Ridge,sex,1.0
FPG,1,Longitudinal-LASSO + Ridge,γ_GTP,1.0
FPG,2,Univariate + Ridge,ALT,
FPG,2,Univariate + Ridge,Body_weight,
FPG,2,Univariate + Ridge,Cl,
FPG,2,Univariate + Ridge,Drinking_habit,
FPG,2,Univariate + Ridge,HbA1c_NGSP,
FPG,2,Univariate + Ridge,Hematocrit,
FPG,2,Univariate + Ridge,Hemoglobin,
FPG,2,Univariate + Ridge,History_of_kidney_disease,
FPG,2,Univariate + Ridge,History_of_retinopathy,
FPG,2,Univariate + Ridge,Initial_body_height,
FPG,2,Univariate + Ridge,LDL_C,
FPG,2,Univariate + Ridge,Na,
