Dataset,Fold,Method,Feature,StabilityFrequency
FPG,1,Univariate + Ridge,Cl,
FPG,1,Univariate + Ridge,HbA1c_NGSP,
FPG,1,Univariate + Ridge,Urinary_sugar,
FPG,1,Longitudinal-LASSO + Ridge,HbA1c_NGSP,1.0
FPG,1,Longitudinal-LASSO + Ridge,Hemoglobin,1.0
FPG,1,Longitudinal-LASSO + Ridge,Urinary_sugar,1.0
FPG,2,Univariate + Ridge,Cl,
FPG,2,Univariate + Ridge,HbA1c_NGSP,
FPG,2,Univariate + Ridge,Urinary_sugar,
FPG,2,Longitudinal-LASSO + Ridge,HbA1c_NGSP,1.0
FPG,2,Longitudinal-LASSO + Ridge,Urinary_sugar,1.0
FPG,2,Longitudinal-LASSO + Ridge,γ_GTP,1.0
FPG,3,Univariate + Ridge,Cl,
FPG,3,Univariate + Ridge,HbA1c_NGSP,
FPG,3,Univariate + Ridge,Urinary_sugar,
FPG,3,Longitudinal-LASSO + Ridge,HbA1c_NGSP,1.0
FPG,3,Longitudinal-LASSO + Ridge,Hemoglobin,1.0
FPG,3,Longitudinal-LASSO + Ridge,Urinary_sugar,1.0
FPG,4,Univariate + Ridge,Cl,
FPG,4,Univariate + Ridge,HbA1c_NGSP,
FPG,4,Univariate + Ridge,Urinary_sugar,
FPG,4,Longitudinal-LASSO + Ridge,AST,1.0
FPG,4,Longitudinal-LASSO + Ridge,HbA1c_NGSP,1.0
FPG,4,Longitudinal-LASSO + Ridge,Urinary_sugar,1.0
FPG,5,Univariate + Ridge,HbA1c_NGSP,
FPG,5,Univariate + Ridge,Urinary_sugar,
FPG,5,Univariate + Ridge,age,
FPG,5,Longitudinal-LASSO + Ridge,HbA1c_NGSP,1.0
FPG,5,Longitudinal-LASSO + Ridge,Urinary_sugar,1.0
FPG,5,Longitudinal-LASSO + Ridge,γ_GTP,1.0
