Dataset,Fold,Method,Feature,StabilityFrequency
IGG,1,Univariate + Ridge,Protein S/PROS1,
IGG,1,Univariate + Ridge,CD14,
IGG,1,Univariate + Ridge,Serpin A10/ZPI,
IGG,1,Univariate + Ridge,BCMA/TNFRSF17,
IGG,1,Univariate + Ridge,IGFBP-2,
IGG,1,Univariate + Ridge,VAP-1/AOC3,
IGG,1,Univariate + Ridge,Complement Component C9,
IGG,1,Univariate + Ridge,CD23/Fc epsilon RII,
IGG,1,Univariate + Ridge,MMP-7,
IGG,1,Univariate + Ridge,Alpha-1-Microglobulin,
IGG,1,Univariate + Ridge,Endocan/ESM-1,
IGG,1,Univariate + Ridge,Reg3A,
IGG,1,Univariate + Ridge,Serpin B3/SCCA1,
IGG,1,Univariate + Ridge,CXCL10/IP-10/CRG-2,
IGG,1,Univariate + Ridge,IL-23,
IGG,1,Univariate + Ridge,vWF-A2,
IGG,1,Univariate + Ridge,Angiopoietin-like Protein 3/ANGPTL3,
IGG,1,Univariate + Ridge,CCL11/Eotaxin,
IGG,1,Univariate + Ridge,L-Selectin/CD62L,
IGG,1,Univariate + Ridge,OSteopontin/OPN,
IGG,1,Longitudinal-LASSO + Ridge,Protein S/PROS1,1.0
IGG,1,Longitudinal-LASSO + Ridge,Properdin,0.8
IGG,1,Longitudinal-LASSO + Ridge,Serpin C1/Antithrombin-III,1.0
IGG,1,Longitudinal-LASSO + Ridge,Serpin A10/ZPI,1.0
IGG,1,Longitudinal-LASSO + Ridge,BCMA/TNFRSF17,1.0
IGG,1,Longitudinal-LASSO + Ridge,Myeloperoxidase/MPO,1.0
IGG,1,Longitudinal-LASSO + Ridge,VAP-1/AOC3,0.9
IGG,1,Longitudinal-LASSO + Ridge,CCL2/JE/MCP-1,0.8
IGG,1,Longitudinal-LASSO + Ridge,CD117/c-kit,0.8
IGG,1,Longitudinal-LASSO + Ridge,IFN-beta,0.9
IGG,1,Longitudinal-LASSO + Ridge,MCAM/CD146,1.0
IGG,1,Longitudinal-LASSO + Ridge,Serpin B3/SCCA1,0.7
IGG,1,Longitudinal-LASSO + Ridge,CA125/MUC16,1.0
IGG,1,Longitudinal-LASSO + Ridge,CXCL10/IP-10/CRG-2,0.9
IGG,1,Longitudinal-LASSO + Ridge,IFN-alpha,0.9
IGG,1,Longitudinal-LASSO + Ridge,vWF-A2,0.8
IGG,1,Longitudinal-LASSO + Ridge,CCL11/Eotaxin,0.9
IGG,1,Longitudinal-LASSO + Ridge,CCL24/Eotaxin-2/MPIF-2,0.9
IGG,1,Longitudinal-LASSO + Ridge,L-Selectin/CD62L,0.8
IGG,1,Longitudinal-LASSO + Ridge,Proprotein Convertase 9/PCSK9,0.7
IGG,2,Univariate + Ridge,beta2-Microglobulin,
IGG,2,Univariate + Ridge,Protein S/PROS1,
IGG,2,Univariate + Ridge,CD14,
IGG,2,Univariate + Ridge,Complement Component C2,
IGG,2,Univariate + Ridge,LRG1,
IGG,2,Univariate + Ridge,Serpin A10/ZPI,
IGG,2,Univariate + Ridge,BCMA/TNFRSF17,
IGG,2,Univariate + Ridge,CCL14/HCC-1/HCC-3,
IGG,2,Univariate + Ridge,IGFBP-2,
IGG,2,Univariate + Ridge,VAP-1/AOC3,
IGG,2,Univariate + Ridge,Complement Component C9,
IGG,2,Univariate + Ridge,CD23/Fc epsilon RII,
IGG,2,Univariate + Ridge,CXCL9/MIG,
IGG,2,Univariate + Ridge,MMP-7,
IGG,2,Univariate + Ridge,Contactin-1,
IGG,2,Univariate + Ridge,IL-6R alpha,
IGG,2,Univariate + Ridge,Reg3A,
IGG,2,Univariate + Ridge,Serpin B3/SCCA1,
IGG,2,Univariate + Ridge,CCL11/Eotaxin,
IGG,2,Univariate + Ridge,CXCL6/GCP-2,
IGG,2,Longitudinal-LASSO + Ridge,Protein S/PROS1,1.0
IGG,2,Longitudinal-LASSO + Ridge,CD14,0.8
IGG,2,Longitudinal-LASSO + Ridge,Serpin C1/Antithrombin-III,0.8
IGG,2,Longitudinal-LASSO + Ridge,BCMA/TNFRSF17,1.0
IGG,2,Longitudinal-LASSO + Ridge,IGFBP-2,1.0
IGG,2,Longitudinal-LASSO + Ridge,Myeloperoxidase/MPO,0.9
IGG,2,Longitudinal-LASSO + Ridge,VAP-1/AOC3,1.0
IGG,2,Longitudinal-LASSO + Ridge,CCL5/RANTES,0.8
IGG,2,Longitudinal-LASSO + Ridge,Complement Component C9,1.0
