Dataset,Fold,Method,Feature,StabilityFrequency
IGM,1,Univariate + Ridge,Fetuin A/AHSG,
IGM,1,Univariate + Ridge,Serpin A4/Kallistatin,
IGM,1,Univariate + Ridge,Galectin-3,
IGM,1,Univariate + Ridge,Myeloperoxidase/MPO,
IGM,1,Univariate + Ridge,CA15-3/MUC-1,
IGM,1,Univariate + Ridge,MMP-9,
IGM,1,Univariate + Ridge,Myoglobin,
IGM,1,Univariate + Ridge,IL-10,
IGM,1,Univariate + Ridge,MMP-8,
IGM,1,Univariate + Ridge,TGF-alpha,
IGM,1,Univariate + Ridge,TREM-1,
IGM,1,Univariate + Ridge,BAFF/BLyS/TNFSF13B,
IGM,1,Univariate + Ridge,CCL22/MDC,
IGM,1,Univariate + Ridge,Serpin B3/SCCA1,
IGM,1,Univariate + Ridge,CA125/MUC16,
IGM,1,Univariate + Ridge,HGF,
IGM,1,Univariate + Ridge,SP-D,
IGM,1,Univariate + Ridge,ST2/IL-33R,
IGM,1,Univariate + Ridge,PD-L1/B7-H1,
IGM,1,Univariate + Ridge,Syndecan-1/CD138,
IGM,1,Longitudinal-LASSO + Ridge,Fetuin A/AHSG,1.0
IGM,1,Longitudinal-LASSO + Ridge,Protein S/PROS1,1.0
IGM,1,Longitudinal-LASSO + Ridge,Serpin A10/ZPI,1.0
IGM,1,Longitudinal-LASSO + Ridge,Galectin-3BP/MAC-2BP,0.9
IGM,1,Longitudinal-LASSO + Ridge,Myeloperoxidase/MPO,1.0
IGM,1,Longitudinal-LASSO + Ridge,CA15-3/MUC-1,0.9
IGM,1,Longitudinal-LASSO + Ridge,MMP-9,0.9
IGM,1,Longitudinal-LASSO + Ridge,CCL19/MIP-3 beta,0.9
IGM,1,Longitudinal-LASSO + Ridge,ErbB2/Her3,1.0
IGM,1,Longitudinal-LASSO + Ridge,TGF-alpha,0.9
IGM,1,Longitudinal-LASSO + Ridge,VEGF,1.0
IGM,1,Longitudinal-LASSO + Ridge,BAFF/BLyS/TNFSF13B,0.9
IGM,1,Longitudinal-LASSO + Ridge,Contactin-1,1.0
IGM,1,Longitudinal-LASSO + Ridge,CXCL13/BLC/BCA-1,0.9
IGM,1,Longitudinal-LASSO + Ridge,Furin,0.9
IGM,1,Longitudinal-LASSO + Ridge,MCAM/CD146,1.0
