Dataset,Fold,Method,Feature,StabilityFrequency
IGM,1,Univariate + Ridge,Fetuin A/AHSG,
IGM,1,Univariate + Ridge,MMP-8,
IGM,1,Univariate + Ridge,Serpin B3/SCCA1,
IGM,1,Longitudinal-LASSO + Ridge,Fetuin A/AHSG,1.0
IGM,1,Longitudinal-LASSO + Ridge,Myeloperoxidase/MPO,1.0
IGM,1,Longitudinal-LASSO + Ridge,VEGF,1.0
IGM,2,Univariate + Ridge,CCL5/RANTES,
IGM,2,Univariate + Ridge,MMP-8,
IGM,2,Univariate + Ridge,Serpin B3/SCCA1,
IGM,2,Longitudinal-LASSO + Ridge,MMP-9,1.0
IGM,2,Longitudinal-LASSO + Ridge,Contactin-1,1.0
IGM,2,Longitudinal-LASSO + Ridge,Serpin B3/SCCA1,1.0
IGM,3,Univariate + Ridge,BAFF/BLyS/TNFSF13B,
IGM,3,Univariate + Ridge,Serpin B3/SCCA1,
IGM,3,Univariate + Ridge,ST2/IL-33R,
IGM,3,Longitudinal-LASSO + Ridge,BCMA/TNFRSF17,1.0
IGM,3,Longitudinal-LASSO + Ridge,CA15-3/MUC-1,1.0
IGM,3,Longitudinal-LASSO + Ridge,Contactin-1,1.0
IGM,4,Univariate + Ridge,MMP-8,
IGM,4,Univariate + Ridge,BAFF/BLyS/TNFSF13B,
IGM,4,Univariate + Ridge,Serpin B3/SCCA1,
IGM,4,Longitudinal-LASSO + Ridge,Contactin-1,1.0
IGM,4,Longitudinal-LASSO + Ridge,IL-18/IL-1F4,1.0
IGM,4,Longitudinal-LASSO + Ridge,L-Selectin/CD62L,1.0
IGM,5,Univariate + Ridge,Fetuin A/AHSG,
IGM,5,Univariate + Ridge,EGF,
IGM,5,Univariate + Ridge,TGF-beta 2,
IGM,5,Longitudinal-LASSO + Ridge,Fetuin A/AHSG,1.0
IGM,5,Longitudinal-LASSO + Ridge,G-CSF,1.0
IGM,5,Longitudinal-LASSO + Ridge,CD117/c-kit,1.0
