Dataset,Fold,Method,Feature,StabilityFrequency
PE,1,Univariate + Logistic,CNTFR,
PE,1,Univariate + Logistic,NRXN3,
PE,1,Univariate + Logistic,COLEC12,
PE,1,Longitudinal-LASSO + Logistic,CCL23.1,1.0
PE,1,Longitudinal-LASSO + Logistic,NTRK2,0.8
PE,1,Longitudinal-LASSO + Logistic,CPE,0.8
PE,2,Univariate + Logistic,IL1RAP,
PE,2,Univariate + Logistic,SPARCL1,
PE,2,Univariate + Logistic,TXNDC12,
PE,2,Longitudinal-LASSO + Logistic,PYY,1.0
PE,2,Longitudinal-LASSO + Logistic,TXNDC12,0.8
PE,2,Longitudinal-LASSO + Logistic,LEP,1.0
PE,3,Univariate + Logistic,ADIPOQ,
PE,3,Univariate + Logistic,SOD2,
PE,3,Univariate + Logistic,LEP,
PE,3,Longitudinal-LASSO + Logistic,ULBP1,0.6
PE,3,Longitudinal-LASSO + Logistic,MDH1,0.8
PE,3,Longitudinal-LASSO + Logistic,LEP,1.0
PE,4,Univariate + Logistic,SPARCL1,
PE,4,Univariate + Logistic,TXNDC12,
PE,4,Univariate + Logistic,CPE,
PE,4,Longitudinal-LASSO + Logistic,PRSS1,0.6
PE,4,Longitudinal-LASSO + Logistic,HAPLN1,0.6
PE,4,Longitudinal-LASSO + Logistic,SPARCL1,0.8
PE,5,Univariate + Logistic,PRSS1,
PE,5,Univariate + Logistic,SPARCL1,
PE,5,Univariate + Logistic,TXNDC12,
PE,5,Longitudinal-LASSO + Logistic,FAM3D,0.8
PE,5,Longitudinal-LASSO + Logistic,PRSS1,1.0
PE,5,Longitudinal-LASSO + Logistic,SPARCL1,1.0
