Dataset,Fold,Method,Feature,StabilityFrequency
TRB,1,Univariate + Ridge,Fetuin A/AHSG,
TRB,1,Univariate + Ridge,Galectin-3,
TRB,1,Univariate + Ridge,MMP-9,
TRB,1,Univariate + Ridge,Myoglobin,
TRB,1,Univariate + Ridge,IL-10,
TRB,1,Univariate + Ridge,IL-6,
TRB,1,Univariate + Ridge,MMP-8,
TRB,1,Univariate + Ridge,TGF-alpha,
TRB,1,Univariate + Ridge,TREM-1,
TRB,1,Univariate + Ridge,Galectin-9,
TRB,1,Univariate + Ridge,VCAM-1/CD106,
TRB,1,Univariate + Ridge,S100A9,
TRB,1,Univariate + Ridge,Chitinase 3-like 1,
TRB,1,Univariate + Ridge,Dkk-1,
TRB,1,Univariate + Ridge,M-CSF,
TRB,1,Univariate + Ridge,MIF,
TRB,1,Univariate + Ridge,Pentraxin 3/TSG-14,
TRB,1,Univariate + Ridge,ST2/IL-33R,
TRB,1,Univariate + Ridge,Fas Ligand/TNFSF6,
TRB,1,Univariate + Ridge,IL-17E/IL-25,
TRB,1,Longitudinal-LASSO + Ridge,Fetuin A/AHSG,1.0
TRB,1,Longitudinal-LASSO + Ridge,Protein S/PROS1,1.0
TRB,1,Longitudinal-LASSO + Ridge,Serpin A10/ZPI,1.0
TRB,1,Longitudinal-LASSO + Ridge,Galectin-3BP/MAC-2BP,1.0
TRB,1,Longitudinal-LASSO + Ridge,MMP-9,1.0
TRB,1,Longitudinal-LASSO + Ridge,CCL19/MIP-3 beta,1.0
TRB,1,Longitudinal-LASSO + Ridge,IL-8/CXCL8,1.0
TRB,1,Longitudinal-LASSO + Ridge,MMP-7,1.0
TRB,1,Longitudinal-LASSO + Ridge,TGF-alpha,1.0
TRB,1,Longitudinal-LASSO + Ridge,VEGF,1.0
TRB,1,Longitudinal-LASSO + Ridge,BAFF/BLyS/TNFSF13B,0.9
TRB,1,Longitudinal-LASSO + Ridge,CXCL5/ENA-78,1.0
TRB,1,Longitudinal-LASSO + Ridge,Leptin/OB,0.9
TRB,1,Longitudinal-LASSO + Ridge,CA125/MUC16,1.0
TRB,1,Longitudinal-LASSO + Ridge,CXCL1/GRO alpha/KC/CINC-1,1.0
TRB,1,Longitudinal-LASSO + Ridge,EGF,0.9
TRB,1,Longitudinal-LASSO + Ridge,M-CSF,1.0
