Dataset,Fold,Method,Feature,StabilityFrequency
TRB,1,Univariate + Ridge,IL-10,
TRB,1,Univariate + Ridge,TGF-alpha,
TRB,1,Univariate + Ridge,Fas Ligand/TNFSF6,
TRB,1,Longitudinal-LASSO + Ridge,Fetuin A/AHSG,1.0
TRB,1,Longitudinal-LASSO + Ridge,MMP-9,1.0
TRB,1,Longitudinal-LASSO + Ridge,Fas Ligand/TNFSF6,1.0
TRB,2,Univariate + Ridge,IL-10,
TRB,2,Univariate + Ridge,Chitinase 3-like 1,
TRB,2,Univariate + Ridge,Fas Ligand/TNFSF6,
TRB,2,Longitudinal-LASSO + Ridge,Fetuin A/AHSG,1.0
TRB,2,Longitudinal-LASSO + Ridge,CA15-3/MUC-1,1.0
TRB,2,Longitudinal-LASSO + Ridge,MMP-9,1.0
TRB,3,Univariate + Ridge,Myoglobin,
TRB,3,Univariate + Ridge,ST2/IL-33R,
TRB,3,Univariate + Ridge,Fas Ligand/TNFSF6,
TRB,3,Longitudinal-LASSO + Ridge,Fetuin A/AHSG,1.0
TRB,3,Longitudinal-LASSO + Ridge,Leptin/OB,1.0
TRB,3,Longitudinal-LASSO + Ridge,Fas Ligand/TNFSF6,1.0
TRB,4,Univariate + Ridge,IL-10,
TRB,4,Univariate + Ridge,M-CSF,
TRB,4,Univariate + Ridge,Fas Ligand/TNFSF6,
TRB,4,Longitudinal-LASSO + Ridge,Leptin/OB,1.0
TRB,4,Longitudinal-LASSO + Ridge,CA125/MUC16,1.0
TRB,4,Longitudinal-LASSO + Ridge,L-Selectin/CD62L,1.0
TRB,5,Univariate + Ridge,Fetuin A/AHSG,
TRB,5,Univariate + Ridge,Fas Ligand/TNFSF6,
TRB,5,Univariate + Ridge,IL-17E/IL-25,
TRB,5,Longitudinal-LASSO + Ridge,Fetuin A/AHSG,1.0
TRB,5,Longitudinal-LASSO + Ridge,Leptin/OB,1.0
TRB,5,Longitudinal-LASSO + Ridge,Dkk-1,1.0
