Cohort,TaskType,Method,CohortRank,TasksRepresented,CohortWin
BrisT1D,regression,Boruta,10.0,1,0.0
BrisT1D,regression,ElasticNet,8.0,1,0.0
BrisT1D,regression,LLSS,2.0,1,0.0
BrisT1D,regression,Lasso,7.0,1,0.0
BrisT1D,regression,LongGroupLasso,4.0,1,0.0
BrisT1D,regression,MutualInfo,6.0,1,0.0
BrisT1D,regression,OutcomeSNN-FS,12.0,1,0.0
BrisT1D,regression,RandomForest,9.0,1,0.0
BrisT1D,regression,SNN-FS,11.0,1,0.0
BrisT1D,regression,StabilitySelection,5.0,1,0.0
BrisT1D,regression,Stabl-RP,13.0,1,0.0
BrisT1D,regression,geeVerse,1.0,1,1.0
BrisT1D,regression,mRMR,3.0,1,0.0
GSE41848,classification,Boruta,1.0,1,1.0
GSE41848,classification,ElasticNet,8.0,1,0.0
GSE41848,classification,LLSS,9.0,1,0.0
GSE41848,classification,Lasso,4.0,1,0.0
GSE41848,classification,LongGroupLasso,7.0,1,0.0
GSE41848,classification,MutualInfo,12.0,1,0.0
GSE41848,classification,OutcomeSNN-FS,2.0,1,0.0
GSE41848,classification,RandomForest,5.0,1,0.0
GSE41848,classification,SNN-FS,6.0,1,0.0
GSE41848,classification,StabilitySelection,11.0,1,0.0
GSE41848,classification,Stabl-RP,10.0,1,0.0
GSE41848,classification,mRMR,3.0,1,0.0
GSE41849,classification,Boruta,6.0,1,0.0
GSE41849,classification,ElasticNet,12.0,1,0.0
GSE41849,classification,LLSS,1.0,1,1.0
GSE41849,classification,Lasso,11.0,1,0.0
GSE41849,classification,LongGroupLasso,4.0,1,0.0
GSE41849,classification,MutualInfo,3.0,1,0.0
GSE41849,classification,OutcomeSNN-FS,7.0,1,0.0
GSE41849,classification,RandomForest,8.0,1,0.0
GSE41849,classification,SNN-FS,9.0,1,0.0
GSE41849,classification,StabilitySelection,10.0,1,0.0
GSE41849,classification,Stabl-RP,5.0,1,0.0
GSE41849,classification,mRMR,2.0,1,0.0
GSE48023,regression,Boruta,9.0,1,0.0
GSE48023,regression,ElasticNet,6.0,1,0.0
GSE48023,regression,LLSS,3.0,1,0.0
GSE48023,regression,Lasso,12.0,1,0.0
GSE48023,regression,LongGroupLasso,7.0,1,0.0
GSE48023,regression,MutualInfo,5.0,1,0.0
GSE48023,regression,OutcomeSNN-FS,8.0,1,0.0
GSE48023,regression,RandomForest,13.0,1,0.0
GSE48023,regression,SNN-FS,10.0,1,0.0
GSE48023,regression,StabilitySelection,11.0,1,0.0
GSE48023,regression,Stabl-RP,2.0,1,0.0
GSE48023,regression,geeVerse,1.0,1,1.0
GSE48023,regression,mRMR,4.0,1,0.0
Japan T2D,regression,Boruta,4.0,1,0.0
Japan T2D,regression,ElasticNet,6.0,1,0.0
Japan T2D,regression,LLSS,2.0,1,0.0
Japan T2D,regression,Lasso,10.0,1,0.0
Japan T2D,regression,LongGroupLasso,3.0,1,0.0
Japan T2D,regression,MutualInfo,8.0,1,0.0
Japan T2D,regression,OutcomeSNN-FS,7.0,1,0.0
Japan T2D,regression,RandomForest,5.0,1,0.0
Japan T2D,regression,SNN-FS,9.0,1,0.0
Japan T2D,regression,StabilitySelection,13.0,1,0.0
Japan T2D,regression,Stabl-RP,1.0,1,1.0
Japan T2D,regression,geeVerse,12.0,1,0.0
Japan T2D,regression,mRMR,11.0,1,0.0
Korea COVID-19,regression,Boruta,7.0,4,0.0
Korea COVID-19,regression,ElasticNet,11.0,4,0.0
Korea COVID-19,regression,LLSS,6.5,4,0.0
Korea COVID-19,regression,Lasso,7.5,4,0.0
Korea COVID-19,regression,LongGroupLasso,3.5,4,0.0
Korea COVID-19,regression,MutualInfo,10.5,4,0.0
Korea COVID-19,regression,OutcomeSNN-FS,4.5,4,0.0
Korea COVID-19,regression,RandomForest,6.5,4,0.0
Korea COVID-19,regression,SNN-FS,7.5,4,0.0
Korea COVID-19,regression,StabilitySelection,8.5,4,0.0
Korea COVID-19,regression,Stabl-RP,3.0,4,1.0
Korea COVID-19,regression,geeVerse,9.75,4,0.0
Korea COVID-19,regression,mRMR,5.25,4,0.0
Korea KARE,regression,Boruta,9.0,2,0.0
Korea KARE,regression,ElasticNet,1.5,2,1.0
Korea KARE,regression,LLSS,11.5,2,0.0
Korea KARE,regression,Lasso,2.5,2,0.0
Korea KARE,regression,LongGroupLasso,4.5,2,0.0
Korea KARE,regression,MutualInfo,11.0,2,0.0
Korea KARE,regression,OutcomeSNN-FS,5.0,2,0.0
Korea KARE,regression,RandomForest,8.0,2,0.0
Korea KARE,regression,SNN-FS,4.5,2,0.0
Korea KARE,regression,StabilitySelection,9.0,2,0.0
Korea KARE,regression,Stabl-RP,9.5,2,0.0
Korea KARE,regression,geeVerse,7.0,2,0.0
Korea KARE,regression,mRMR,8.0,2,0.0
Olink COVID,classification,Boruta,5.0,1,0.0
Olink COVID,classification,ElasticNet,11.0,1,0.0
Olink COVID,classification,LLSS,1.0,1,1.0
Olink COVID,classification,Lasso,12.0,1,0.0
Olink COVID,classification,LongGroupLasso,6.0,1,0.0
Olink COVID,classification,MutualInfo,2.0,1,0.0
Olink COVID,classification,OutcomeSNN-FS,8.0,1,0.0
Olink COVID,classification,RandomForest,4.0,1,0.0
Olink COVID,classification,SNN-FS,9.0,1,0.0
Olink COVID,classification,StabilitySelection,10.0,1,0.0
Olink COVID,classification,Stabl-RP,3.0,1,0.0
Olink COVID,classification,mRMR,7.0,1,0.0
Stanford PE,classification,Boruta,9.0,2,0.0
Stanford PE,classification,ElasticNet,5.0,2,0.0
Stanford PE,classification,LLSS,3.0,2,0.0
Stanford PE,classification,Lasso,3.5,2,0.0
Stanford PE,classification,LongGroupLasso,1.5,2,1.0
Stanford PE,classification,MutualInfo,11.5,2,0.0
Stanford PE,classification,OutcomeSNN-FS,11.0,2,0.0
Stanford PE,classification,RandomForest,7.0,2,0.0
Stanford PE,classification,SNN-FS,5.0,2,0.0
Stanford PE,classification,StabilitySelection,6.5,2,0.0
Stanford PE,classification,Stabl-RP,10.5,2,0.0
Stanford PE,classification,mRMR,4.5,2,0.0
