Method,PE,PE_LOPE_MATCHED,OLINK_COVID,GSE41848_MS,GSE41849_MS,FPG,FPG_KARE,KARE_STATUS,IGG,IGM,TRA,TRB,BRIST1D,GSE48023_H1N1
Lasso,3.0,4.0,12.0,4.0,11.0,10.0,3.0,2.0,2.0,4.0,12.0,12.0,7.0,12.0
ElasticNet,4.0,6.0,11.0,8.0,12.0,6.0,2.0,1.0,11.0,7.0,13.0,13.0,8.0,6.0
StabilitySelection,8.0,5.0,10.0,11.0,10.0,13.0,13.0,5.0,7.0,8.0,9.0,10.0,5.0,11.0
Stabl-RP,11.0,10.0,3.0,10.0,5.0,1.0,11.0,8.0,8.0,2.0,1.0,1.0,13.0,2.0
LongGroupLasso,1.0,2.0,6.0,7.0,4.0,3.0,6.0,3.0,4.0,3.0,2.0,5.0,4.0,7.0
LLSS,5.0,1.0,1.0,9.0,1.0,2.0,12.0,11.0,10.0,9.0,3.0,4.0,2.0,3.0
RandomForest,7.0,7.0,4.0,5.0,8.0,5.0,7.0,9.0,6.0,12.0,5.0,3.0,9.0,13.0
MutualInfo,12.0,11.0,2.0,12.0,3.0,8.0,10.0,12.0,12.0,11.0,10.0,9.0,6.0,5.0
Boruta,9.0,9.0,5.0,1.0,6.0,4.0,8.0,10.0,5.0,10.0,7.0,6.0,10.0,9.0
mRMR,6.0,3.0,7.0,3.0,2.0,11.0,9.0,7.0,9.0,6.0,4.0,2.0,3.0,4.0
SNN-FS,2.0,8.0,9.0,6.0,9.0,9.0,5.0,4.0,3.0,5.0,11.0,11.0,11.0,10.0
OutcomeSNN-FS,10.0,12.0,8.0,2.0,7.0,7.0,4.0,6.0,1.0,1.0,8.0,8.0,12.0,8.0
geeVerse,,,,,,12.0,1.0,13.0,13.0,13.0,6.0,7.0,1.0,1.0
