Task,Method,SelectedPanelSize,MeanJaccard,SDJaccard,Pairs,EvidenceLevel
BRIST1D,Boruta,3,0.6000822199383351,0.24498252777914015,9730,selection stability conditional on the inner-selected panel size
BRIST1D,Boruta,5,0.6127051243330314,0.2044653102159511,946,selection stability conditional on the inner-selected panel size
BRIST1D,Boruta,10,0.8520025429116338,0.11429796681763278,2145,selection stability conditional on the inner-selected panel size
BRIST1D,ElasticNet,3,0.537716129032258,0.26614485712976965,7750,selection stability conditional on the inner-selected panel size
BRIST1D,ElasticNet,5,0.6900192400192399,0.1716864666766424,990,selection stability conditional on the inner-selected panel size
BRIST1D,ElasticNet,10,0.8853279631760645,0.08776230753340625,3160,selection stability conditional on the inner-selected panel size
BRIST1D,LLSS,3,0.3476727473742399,0.25488667498853773,9045,selection stability conditional on the inner-selected panel size
BRIST1D,LLSS,5,0.5600081973321409,0.2018563324769597,2556,selection stability conditional on the inner-selected panel size
BRIST1D,LLSS,10,0.8249605691466158,0.10874925430735194,903,selection stability conditional on the inner-selected panel size
BRIST1D,Lasso,3,0.5287356321839081,0.26688976682901383,6786,selection stability conditional on the inner-selected panel size
BRIST1D,Lasso,5,0.6695960530373112,0.1741187008294289,1081,selection stability conditional on the inner-selected panel size
BRIST1D,Lasso,10,0.8827509016291507,0.08702148413791579,3655,selection stability conditional on the inner-selected panel size
BRIST1D,LongGroupLasso,3,0.5227850877192982,0.24589752134521647,4560,selection stability conditional on the inner-selected panel size
BRIST1D,LongGroupLasso,5,0.6157919660501416,0.20737911777890947,3486,selection stability conditional on the inner-selected panel size
BRIST1D,LongGroupLasso,10,0.844845975280758,0.12022136576691639,2415,selection stability conditional on the inner-selected panel size
BRIST1D,MutualInfo,3,0.6374524400330851,0.24915134892060453,12090,selection stability conditional on the inner-selected panel size
BRIST1D,MutualInfo,5,0.6855207600281493,0.18382022726456673,406,selection stability conditional on the inner-selected panel size
BRIST1D,MutualInfo,10,0.8520979020979021,0.08742031671495579,2080,selection stability conditional on the inner-selected panel size
BRIST1D,OutcomeSNN-FS,3,0.40037419354838716,0.24583481199020116,7750,selection stability conditional on the inner-selected panel size
BRIST1D,OutcomeSNN-FS,5,0.5630778686334242,0.2056598228596209,1485,selection stability conditional on the inner-selected panel size
BRIST1D,OutcomeSNN-FS,10,0.8380450467406989,0.08344621094180601,2415,selection stability conditional on the inner-selected panel size
BRIST1D,PGEE,3,0.6336918551204266,0.26441731246780853,10878,selection stability conditional on the inner-selected panel size
BRIST1D,PGEE,5,0.687633262260128,0.1893090130886167,2278,selection stability conditional on the inner-selected panel size
BRIST1D,PGEE,10,0.8250958785718144,0.1153108589997247,561,selection stability conditional on the inner-selected panel size
BRIST1D,RandomForest,3,0.7475524475524475,0.26073894777929557,10153,selection stability conditional on the inner-selected panel size
BRIST1D,RandomForest,5,0.632095941825006,0.18649316397515506,406,selection stability conditional on the inner-selected panel size
BRIST1D,RandomForest,10,0.826072916982008,0.11048737849395482,3003,selection stability conditional on the inner-selected panel size
BRIST1D,SNN-FS,3,0.5287612903225806,0.2895163771889491,7750,selection stability conditional on the inner-selected panel size
BRIST1D,SNN-FS,5,0.6297313797313798,0.19455290436496692,780,selection stability conditional on the inner-selected panel size
BRIST1D,SNN-FS,10,0.8758339699516171,0.08461940992327642,3570,selection stability conditional on the inner-selected panel size
BRIST1D,StabilitySelection,3,0.42247940777812537,0.24072220146402964,9591,selection stability conditional on the inner-selected panel size
BRIST1D,StabilitySelection,5,0.5947895100069014,0.17710843799283096,1035,selection stability conditional on the inner-selected panel size
BRIST1D,StabilitySelection,10,0.943444055944056,0.08418866713821126,2080,selection stability conditional on the inner-selected panel size
