Task,TaskType,Method,SelectedPanelSize,Metric,Mean,SD,OuterFolds,EvidenceLevel
BRIST1D,regression,Boruta,3,RMSE,1.769706962106413,0.42800579481336654,140,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,Boruta,5,RMSE,2.0044383971800923,0.45508573369449334,44,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,Boruta,10,RMSE,1.6845904965235639,0.3097939413614964,66,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,ElasticNet,3,RMSE,1.8307749144063767,0.47190898666763,125,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,ElasticNet,5,RMSE,1.7414687857425584,0.4183655000040644,45,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,ElasticNet,10,RMSE,1.7481288730104354,0.30948572273693586,80,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,LLSS,3,RMSE,1.7425301272069647,0.4323979062376279,135,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,LLSS,5,RMSE,1.7960693092319842,0.44683173898662576,72,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,LLSS,10,RMSE,1.8130059241157561,0.36132983188113804,43,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,Lasso,3,RMSE,1.8149119515520016,0.47629201851136443,117,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,Lasso,5,RMSE,1.8379852923110636,0.36554878904944055,47,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,Lasso,10,RMSE,1.7170075173486277,0.3562726614719058,86,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,LongGroupLasso,3,RMSE,1.8887502614610732,0.4569168886977923,96,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,LongGroupLasso,5,RMSE,1.7286490791001168,0.4122275881650359,84,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,LongGroupLasso,10,RMSE,1.6806486059946986,0.3314304810625801,70,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,MutualInfo,3,RMSE,1.7652849756201168,0.4490775375347433,156,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,MutualInfo,5,RMSE,1.8730556681190633,0.4161845525130705,29,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,MutualInfo,10,RMSE,1.7701141753033405,0.33495890795575417,65,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,OutcomeSNN-FS,3,RMSE,1.8508329052590393,0.46755551888682895,125,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,OutcomeSNN-FS,5,RMSE,1.7426585148862408,0.36037233280912134,55,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,OutcomeSNN-FS,10,RMSE,1.7174526438802977,0.34112020621009637,70,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,PGEE,3,RMSE,1.7478767283508454,0.4613605225844844,148,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,PGEE,5,RMSE,1.7213219298175435,0.42929555570153194,68,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,PGEE,10,RMSE,1.8119515562459112,0.3666867062258822,34,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,RandomForest,3,RMSE,1.768690521678483,0.44607163122466925,143,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,RandomForest,5,RMSE,2.0048104853351223,0.44027790312452886,29,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,RandomForest,10,RMSE,1.741578426340834,0.3414691567041056,78,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,SNN-FS,3,RMSE,1.8598613533866726,0.4728599592699235,125,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,SNN-FS,5,RMSE,1.7753575692471657,0.3597946348268585,40,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,SNN-FS,10,RMSE,1.69080035422207,0.32955703247429363,85,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,StabilitySelection,3,RMSE,1.7633711644954115,0.4505326387572106,139,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,StabilitySelection,5,RMSE,1.803488220946569,0.4592299531084945,46,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,StabilitySelection,10,RMSE,1.7884447943521098,0.3017638982404046,65,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,Stabl-RP,3,RMSE,1.7709240376675182,0.42399332410795326,149,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,Stabl-RP,5,RMSE,1.8996973193086912,0.414801826409798,46,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,Stabl-RP,10,RMSE,1.7656817956095678,0.3653230353374435,55,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,geeVerse,3,RMSE,1.802227381237578,0.4466951217368055,140,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
