Task,Method,SelectedBudget,Selections,Frequency
BRIST1D,Boruta,3,140,0.56
BRIST1D,Boruta,5,44,0.176
BRIST1D,Boruta,10,66,0.264
BRIST1D,ElasticNet,3,125,0.5
BRIST1D,ElasticNet,5,45,0.18
BRIST1D,ElasticNet,10,80,0.32
BRIST1D,LLSS,3,135,0.54
BRIST1D,LLSS,5,72,0.288
BRIST1D,LLSS,10,43,0.172
BRIST1D,Lasso,3,117,0.468
BRIST1D,Lasso,5,47,0.188
BRIST1D,Lasso,10,86,0.344
BRIST1D,LongGroupLasso,3,96,0.384
BRIST1D,LongGroupLasso,5,84,0.336
BRIST1D,LongGroupLasso,10,70,0.28
BRIST1D,MutualInfo,3,156,0.624
BRIST1D,MutualInfo,5,29,0.116
BRIST1D,MutualInfo,10,65,0.26
BRIST1D,OutcomeSNN-FS,3,125,0.5
BRIST1D,OutcomeSNN-FS,5,55,0.22
BRIST1D,OutcomeSNN-FS,10,70,0.28
BRIST1D,PGEE,3,148,0.592
BRIST1D,PGEE,5,68,0.272
BRIST1D,PGEE,10,34,0.136
BRIST1D,RandomForest,3,143,0.572
BRIST1D,RandomForest,5,29,0.116
BRIST1D,RandomForest,10,78,0.312
BRIST1D,SNN-FS,3,125,0.5
BRIST1D,SNN-FS,5,40,0.16
BRIST1D,SNN-FS,10,85,0.34
BRIST1D,StabilitySelection,3,139,0.556
BRIST1D,StabilitySelection,5,46,0.184
BRIST1D,StabilitySelection,10,65,0.26
BRIST1D,Stabl-RP,3,149,0.596
BRIST1D,Stabl-RP,5,46,0.184
BRIST1D,Stabl-RP,10,55,0.22
BRIST1D,geeVerse,3,140,0.56
BRIST1D,geeVerse,5,42,0.168
BRIST1D,geeVerse,10,68,0.272
BRIST1D,glmmLasso,3,118,0.472
BRIST1D,glmmLasso,5,50,0.2
BRIST1D,glmmLasso,10,82,0.328
BRIST1D,mRMR,3,115,0.46
BRIST1D,mRMR,5,73,0.292
BRIST1D,mRMR,10,62,0.248
FPG,Boruta,3,21,0.084
FPG,Boruta,5,55,0.22
FPG,Boruta,10,174,0.696
FPG,ElasticNet,3,28,0.112
FPG,ElasticNet,5,29,0.116
FPG,ElasticNet,10,193,0.772
FPG,LLSS,3,8,0.032
FPG,LLSS,5,22,0.088
FPG,LLSS,10,220,0.88
FPG,Lasso,3,17,0.068
FPG,Lasso,5,23,0.092
FPG,Lasso,10,210,0.84
FPG,LongGroupLasso,3,30,0.12
FPG,LongGroupLasso,5,147,0.588
FPG,LongGroupLasso,10,73,0.292
FPG,MutualInfo,3,27,0.108
FPG,MutualInfo,5,46,0.184
FPG,MutualInfo,10,177,0.708
FPG,OutcomeSNN-FS,3,24,0.096
FPG,OutcomeSNN-FS,5,35,0.14
FPG,OutcomeSNN-FS,10,191,0.764
FPG,PGEE,3,22,0.088
FPG,PGEE,5,69,0.276
FPG,PGEE,10,159,0.636
FPG,RandomForest,3,18,0.072
FPG,RandomForest,5,84,0.336
FPG,RandomForest,10,148,0.592
FPG,SNN-FS,3,36,0.144
FPG,SNN-FS,5,32,0.128
FPG,SNN-FS,10,182,0.728
FPG,StabilitySelection,3,4,0.016
FPG,StabilitySelection,5,44,0.176
FPG,StabilitySelection,10,202,0.808
FPG,Stabl-RP,3,12,0.048
FPG,Stabl-RP,5,24,0.096
FPG,Stabl-RP,10,214,0.856
FPG,geeVerse,3,1,0.004
FPG,geeVerse,5,4,0.016
FPG,geeVerse,10,245,0.98
FPG,glmmLasso,3,49,0.196
FPG,glmmLasso,5,60,0.24
FPG,glmmLasso,10,141,0.564
FPG,mRMR,3,34,0.136
FPG,mRMR,5,68,0.272
FPG,mRMR,10,148,0.592
FPG_KARE,Boruta,3,65,0.26
FPG_KARE,Boruta,5,60,0.24
FPG_KARE,Boruta,10,125,0.5
FPG_KARE,ElasticNet,3,1,0.004
FPG_KARE,ElasticNet,5,20,0.08
FPG_KARE,ElasticNet,10,229,0.916
FPG_KARE,LLSS,3,112,0.448
FPG_KARE,LLSS,5,57,0.228
FPG_KARE,LLSS,10,81,0.324
FPG_KARE,Lasso,3,2,0.008
FPG_KARE,Lasso,5,16,0.064
FPG_KARE,Lasso,10,232,0.928
FPG_KARE,LongGroupLasso,3,75,0.3
FPG_KARE,LongGroupLasso,5,49,0.196
FPG_KARE,LongGroupLasso,10,126,0.504
FPG_KARE,MutualInfo,3,6,0.024
FPG_KARE,MutualInfo,5,50,0.2
FPG_KARE,MutualInfo,10,194,0.776
FPG_KARE,OutcomeSNN-FS,3,1,0.004
FPG_KARE,OutcomeSNN-FS,5,12,0.048
FPG_KARE,OutcomeSNN-FS,10,237,0.948
FPG_KARE,PGEE,3,36,0.144
FPG_KARE,PGEE,5,73,0.292
FPG_KARE,PGEE,10,141,0.564
FPG_KARE,RandomForest,3,75,0.3
FPG_KARE,RandomForest,5,64,0.256
FPG_KARE,RandomForest,10,111,0.444
FPG_KARE,SNN-FS,3,4,0.016
FPG_KARE,SNN-FS,5,14,0.056
FPG_KARE,SNN-FS,10,232,0.928
FPG_KARE,StabilitySelection,3,6,0.024
FPG_KARE,StabilitySelection,5,18,0.072
FPG_KARE,StabilitySelection,10,226,0.904
FPG_KARE,Stabl-RP,3,101,0.404
FPG_KARE,Stabl-RP,5,74,0.296
FPG_KARE,Stabl-RP,10,75,0.3
FPG_KARE,geeVerse,3,15,0.06
FPG_KARE,geeVerse,5,16,0.064
FPG_KARE,geeVerse,10,219,0.876
FPG_KARE,glmmLasso,3,38,0.152
FPG_KARE,glmmLasso,5,110,0.44
FPG_KARE,glmmLasso,10,102,0.408
FPG_KARE,mRMR,3,81,0.324
FPG_KARE,mRMR,5,48,0.192
FPG_KARE,mRMR,10,121,0.484
GSE41848_MS,Boruta,3,63,0.252
GSE41848_MS,Boruta,5,62,0.248
GSE41848_MS,Boruta,10,125,0.5
GSE41848_MS,ElasticNet,3,102,0.408
GSE41848_MS,ElasticNet,5,59,0.236
GSE41848_MS,ElasticNet,10,89,0.356
GSE41848_MS,LLSS,3,50,0.2
GSE41848_MS,LLSS,5,58,0.232
GSE41848_MS,LLSS,10,142,0.568
GSE41848_MS,Lasso,3,77,0.308
GSE41848_MS,Lasso,5,77,0.308
GSE41848_MS,Lasso,10,96,0.384
GSE41848_MS,LongGroupLasso,3,59,0.236
GSE41848_MS,LongGroupLasso,5,58,0.232
GSE41848_MS,LongGroupLasso,10,133,0.532
GSE41848_MS,MutualInfo,3,48,0.192
GSE41848_MS,MutualInfo,5,52,0.208
GSE41848_MS,MutualInfo,10,150,0.6
GSE41848_MS,OutcomeSNN-FS,3,91,0.364
GSE41848_MS,OutcomeSNN-FS,5,63,0.252
GSE41848_MS,OutcomeSNN-FS,10,96,0.384
GSE41848_MS,PGEE,3,58,0.232
GSE41848_MS,PGEE,5,74,0.296
GSE41848_MS,PGEE,10,118,0.472
GSE41848_MS,RandomForest,3,92,0.368
GSE41848_MS,RandomForest,5,60,0.24
GSE41848_MS,RandomForest,10,98,0.392
GSE41848_MS,SNN-FS,3,91,0.364
GSE41848_MS,SNN-FS,5,45,0.18
GSE41848_MS,SNN-FS,10,114,0.456
GSE41848_MS,StabilitySelection,3,91,0.364
GSE41848_MS,StabilitySelection,5,62,0.248
GSE41848_MS,StabilitySelection,10,97,0.388
GSE41848_MS,Stabl-RP,3,45,0.18
GSE41848_MS,Stabl-RP,5,65,0.26
GSE41848_MS,Stabl-RP,10,140,0.56
GSE41848_MS,glmmLasso,3,66,0.264
GSE41848_MS,glmmLasso,5,51,0.204
GSE41848_MS,glmmLasso,10,133,0.532
GSE41848_MS,mRMR,3,57,0.228
GSE41848_MS,mRMR,5,61,0.244
GSE41848_MS,mRMR,10,132,0.528
GSE41849_MS,Boruta,3,49,0.196
GSE41849_MS,Boruta,5,62,0.248
GSE41849_MS,Boruta,10,139,0.556
GSE41849_MS,ElasticNet,3,57,0.228
GSE41849_MS,ElasticNet,5,61,0.244
GSE41849_MS,ElasticNet,10,132,0.528
GSE41849_MS,LLSS,3,88,0.352
GSE41849_MS,LLSS,5,76,0.304
GSE41849_MS,LLSS,10,86,0.344
GSE41849_MS,Lasso,3,63,0.252
GSE41849_MS,Lasso,5,61,0.244
GSE41849_MS,Lasso,10,126,0.504
GSE41849_MS,LongGroupLasso,3,35,0.14
GSE41849_MS,LongGroupLasso,5,63,0.252
GSE41849_MS,LongGroupLasso,10,152,0.608
GSE41849_MS,MutualInfo,3,88,0.352
GSE41849_MS,MutualInfo,5,66,0.264
GSE41849_MS,MutualInfo,10,96,0.384
GSE41849_MS,OutcomeSNN-FS,3,75,0.3
GSE41849_MS,OutcomeSNN-FS,5,77,0.308
GSE41849_MS,OutcomeSNN-FS,10,98,0.392
GSE41849_MS,PGEE,3,62,0.248
GSE41849_MS,PGEE,5,69,0.276
GSE41849_MS,PGEE,10,119,0.476
GSE41849_MS,RandomForest,3,26,0.104
GSE41849_MS,RandomForest,5,62,0.248
GSE41849_MS,RandomForest,10,162,0.648
GSE41849_MS,SNN-FS,3,52,0.208
GSE41849_MS,SNN-FS,5,61,0.244
GSE41849_MS,SNN-FS,10,137,0.548
GSE41849_MS,StabilitySelection,3,43,0.172
GSE41849_MS,StabilitySelection,5,60,0.24
GSE41849_MS,StabilitySelection,10,147,0.588
GSE41849_MS,Stabl-RP,3,42,0.168
GSE41849_MS,Stabl-RP,5,68,0.272
GSE41849_MS,Stabl-RP,10,140,0.56
GSE41849_MS,glmmLasso,3,32,0.128
GSE41849_MS,glmmLasso,5,42,0.168
GSE41849_MS,glmmLasso,10,176,0.704
GSE41849_MS,mRMR,3,44,0.176
GSE41849_MS,mRMR,5,80,0.32
GSE41849_MS,mRMR,10,126,0.504
GSE48023_H1N1,Boruta,3,109,0.436
GSE48023_H1N1,Boruta,5,60,0.24
GSE48023_H1N1,Boruta,10,81,0.324
GSE48023_H1N1,ElasticNet,3,165,0.66
GSE48023_H1N1,ElasticNet,5,41,0.164
GSE48023_H1N1,ElasticNet,10,44,0.176
GSE48023_H1N1,LLSS,3,127,0.508
GSE48023_H1N1,LLSS,5,64,0.256
GSE48023_H1N1,LLSS,10,59,0.236
GSE48023_H1N1,Lasso,3,164,0.656
GSE48023_H1N1,Lasso,5,47,0.188
GSE48023_H1N1,Lasso,10,39,0.156
GSE48023_H1N1,LongGroupLasso,3,94,0.376
GSE48023_H1N1,LongGroupLasso,5,71,0.284
GSE48023_H1N1,LongGroupLasso,10,85,0.34
GSE48023_H1N1,MutualInfo,3,92,0.368
GSE48023_H1N1,MutualInfo,5,74,0.296
GSE48023_H1N1,MutualInfo,10,84,0.336
GSE48023_H1N1,OutcomeSNN-FS,3,143,0.572
GSE48023_H1N1,OutcomeSNN-FS,5,57,0.228
GSE48023_H1N1,OutcomeSNN-FS,10,50,0.2
GSE48023_H1N1,PGEE,3,86,0.344
GSE48023_H1N1,PGEE,5,62,0.248
GSE48023_H1N1,PGEE,10,102,0.408
GSE48023_H1N1,RandomForest,3,125,0.5
GSE48023_H1N1,RandomForest,5,54,0.216
GSE48023_H1N1,RandomForest,10,71,0.284
GSE48023_H1N1,SNN-FS,3,146,0.584
GSE48023_H1N1,SNN-FS,5,59,0.236
GSE48023_H1N1,SNN-FS,10,45,0.18
GSE48023_H1N1,StabilitySelection,3,147,0.588
GSE48023_H1N1,StabilitySelection,5,59,0.236
GSE48023_H1N1,StabilitySelection,10,44,0.176
GSE48023_H1N1,Stabl-RP,3,120,0.48
GSE48023_H1N1,Stabl-RP,5,72,0.288
GSE48023_H1N1,Stabl-RP,10,58,0.232
GSE48023_H1N1,geeVerse,3,126,0.504
GSE48023_H1N1,geeVerse,5,54,0.216
GSE48023_H1N1,geeVerse,10,70,0.28
GSE48023_H1N1,glmmLasso,3,107,0.428
GSE48023_H1N1,glmmLasso,5,68,0.272
GSE48023_H1N1,glmmLasso,10,75,0.3
GSE48023_H1N1,mRMR,3,137,0.548
GSE48023_H1N1,mRMR,5,70,0.28
GSE48023_H1N1,mRMR,10,43,0.172
IGG,Boruta,3,89,0.356
IGG,Boruta,5,52,0.208
IGG,Boruta,10,109,0.436
IGG,ElasticNet,3,78,0.312
IGG,ElasticNet,5,64,0.256
IGG,ElasticNet,10,108,0.432
IGG,LLSS,3,114,0.456
IGG,LLSS,5,60,0.24
IGG,LLSS,10,76,0.304
IGG,Lasso,3,50,0.2
IGG,Lasso,5,59,0.236
IGG,Lasso,10,141,0.564
IGG,LongGroupLasso,3,122,0.488
IGG,LongGroupLasso,5,71,0.284
IGG,LongGroupLasso,10,57,0.228
IGG,MutualInfo,3,96,0.384
IGG,MutualInfo,5,64,0.256
IGG,MutualInfo,10,90,0.36
IGG,OutcomeSNN-FS,3,50,0.2
IGG,OutcomeSNN-FS,5,89,0.356
IGG,OutcomeSNN-FS,10,111,0.444
IGG,PGEE,3,99,0.396
IGG,PGEE,5,72,0.288
IGG,PGEE,10,79,0.316
IGG,RandomForest,3,88,0.352
IGG,RandomForest,5,73,0.292
IGG,RandomForest,10,89,0.356
IGG,SNN-FS,3,52,0.208
IGG,SNN-FS,5,78,0.312
IGG,SNN-FS,10,120,0.48
IGG,StabilitySelection,3,92,0.368
IGG,StabilitySelection,5,69,0.276
IGG,StabilitySelection,10,89,0.356
IGG,Stabl-RP,3,90,0.36
IGG,Stabl-RP,5,60,0.24
IGG,Stabl-RP,10,100,0.4
IGG,geeVerse,3,106,0.424
IGG,geeVerse,5,65,0.26
IGG,geeVerse,10,79,0.316
IGG,glmmLasso,3,110,0.44
IGG,glmmLasso,5,74,0.296
IGG,glmmLasso,10,66,0.264
IGG,mRMR,3,92,0.368
IGG,mRMR,5,65,0.26
IGG,mRMR,10,93,0.372
IGM,Boruta,3,69,0.276
IGM,Boruta,5,72,0.288
IGM,Boruta,10,109,0.436
