Task,Repeat,Method,Metric,RMSE,MAE,AUROC,AUPRC,SourceRun,Fold,Accuracy,BalancedAccuracy,Dataset,Cohort,TaskType,OutcomeDescription
FPG,1,Boruta,RMSE,27.48346121800686,20.12153548143321,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,1,ElasticNet,RMSE,27.828981534201795,20.081655437610387,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,1,LLSS,RMSE,27.475221097575822,20.05737179005912,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,1,Lasso,RMSE,27.75358097462188,20.08482930464264,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,1,LongGroupLasso,RMSE,27.51113635793769,20.14856017671608,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,1,MutualInfo,RMSE,27.63138246585117,20.09110917929821,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,1,OutcomeSNN-FS,RMSE,27.708852915602577,20.127048026967053,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,1,RandomForest,RMSE,27.534810792396293,20.060807563073663,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,1,SNN-FS,RMSE,27.83613993092638,20.117387273518165,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,1,StabilitySelection,RMSE,31.21494875357317,23.27737899278481,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,1,Stabl-RP,RMSE,27.334640305770915,20.04546263909589,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,1,mRMR,RMSE,27.95280286024861,20.311518525843116,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,2,Boruta,RMSE,27.71072356935324,20.175598400950538,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,2,ElasticNet,RMSE,27.902417162314546,20.181676621759834,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
FPG,2,LLSS,RMSE,27.65680558585024,20.20155872490036,,,benchmark_full50,,,,Japan T2D,Japan T2D,regression,Fasting plasma glucose
