Method,MeanRank,SDRankAcrossTasks,MeanWinRate,Tasks
glmmLasso,4.7700000000000005,1.473687160205261,0.16142857142857142,14
PGEE,5.5249999999999995,2.251518291150355,0.14714285714285716,14
LongGroupLasso,6.358571428571429,1.6971598770745342,0.055714285714285716,14
LLSS,6.987857142857143,3.2047517090226374,0.06999999999999999,14
Stabl-RP,7.167142857142857,3.1744422370683507,0.10857142857142857,14
mRMR,7.235,2.0368631614474104,0.04428571428571428,14
OutcomeSNN-FS,7.680714285714286,2.5503226471165577,0.08,14
Boruta,8.307857142857143,1.9240989042683316,0.039999999999999994,14
RandomForest,8.405714285714286,1.8912133438847962,0.032857142857142856,14
SNN-FS,8.709999999999999,2.291972613610045,0.03428571428571429,14
Lasso,8.747857142857143,3.0923657326027634,0.048571428571428564,14
geeVerse,9.135555555555555,4.829614661417386,0.07333333333333333,9
ElasticNet,9.146428571428572,3.2084374513337295,0.055714285714285716,14
MutualInfo,9.630714285714287,2.892131139397473,0.032857142857142856,14
StabilitySelection,10.097142857142858,2.622970801243473,0.024285714285714282,14
