Task,Cohort,TaskType,Method,MeanRank,SDRank,WinRate,Repeats
BRIST1D,BrisT1D,regression,Boruta,10.44,3.682057987105603,0.0,50
BRIST1D,BrisT1D,regression,ElasticNet,9.69,3.160486271032949,0.0,50
BRIST1D,BrisT1D,regression,LLSS,7.48,4.116864271332179,0.02,50
BRIST1D,BrisT1D,regression,Lasso,9.77,3.287592630804864,0.0,50
BRIST1D,BrisT1D,regression,LongGroupLasso,7.54,3.258959393200629,0.0,50
BRIST1D,BrisT1D,regression,MutualInfo,8.24,3.54884286976554,0.0,50
BRIST1D,BrisT1D,regression,OutcomeSNN-FS,10.14,3.1037173235476514,0.0,50
BRIST1D,BrisT1D,regression,PGEE,1.74,1.6011475476631611,0.64,50
BRIST1D,BrisT1D,regression,RandomForest,10.24,3.165889628975897,0.0,50
BRIST1D,BrisT1D,regression,SNN-FS,10.46,3.0918589613264533,0.0,50
BRIST1D,BrisT1D,regression,StabilitySelection,8.5,4.046918706918656,0.02,50
BRIST1D,BrisT1D,regression,Stabl-RP,11.26,3.7947869720532807,0.0,50
BRIST1D,BrisT1D,regression,geeVerse,3.64,2.9399430787214995,0.14,50
BRIST1D,BrisT1D,regression,glmmLasso,3.28,2.579669334924734,0.16,50
BRIST1D,BrisT1D,regression,mRMR,7.58,3.3508451568680586,0.02,50
FPG,Japan T2D,regression,Boruta,6.82,2.4882581400306063,0.0,50
FPG,Japan T2D,regression,ElasticNet,7.16,3.781588047800197,0.1,50
FPG,Japan T2D,regression,LLSS,3.14,2.185387463894432,0.16,50
FPG,Japan T2D,regression,Lasso,9.22,3.196235030054414,0.02,50
FPG,Japan T2D,regression,LongGroupLasso,4.98,2.055257072157413,0.02,50
FPG,Japan T2D,regression,MutualInfo,8.38,3.1421427759555733,0.02,50
FPG,Japan T2D,regression,OutcomeSNN-FS,8.34,3.248924468817586,0.02,50
FPG,Japan T2D,regression,PGEE,9.72,2.899964813298145,0.0,50
FPG,Japan T2D,regression,RandomForest,7.06,2.469487263975819,0.0,50
FPG,Japan T2D,regression,SNN-FS,8.78,3.4183777033044462,0.02,50
FPG,Japan T2D,regression,StabilitySelection,14.8,0.40406101782088427,0.0,50
FPG,Japan T2D,regression,Stabl-RP,2.64,2.310225715626691,0.46,50
FPG,Japan T2D,regression,geeVerse,13.96,1.6408061731841406,0.0,50
FPG,Japan T2D,regression,glmmLasso,4.02,2.51111813455964,0.18,50
FPG,Japan T2D,regression,mRMR,10.98,2.2450853354082794,0.0,50
FPG_KARE,Korea KARE,regression,Boruta,9.36,2.21091909967464,0.0,50
FPG_KARE,Korea KARE,regression,ElasticNet,4.96,3.0217578341361615,0.08,50
FPG_KARE,Korea KARE,regression,LLSS,13.24,1.1168468734681178,0.0,50
FPG_KARE,Korea KARE,regression,Lasso,5.18,2.831600110127394,0.06,50
FPG_KARE,Korea KARE,regression,LongGroupLasso,8.72,2.222702895860197,0.0,50
FPG_KARE,Korea KARE,regression,MutualInfo,10.0,2.842821248876057,0.0,50
FPG_KARE,Korea KARE,regression,OutcomeSNN-FS,6.7,2.922467506496969,0.0,50
FPG_KARE,Korea KARE,regression,PGEE,2.54,1.3881422029137376,0.28,50
FPG_KARE,Korea KARE,regression,RandomForest,9.38,2.3464258534448272,0.0,50
FPG_KARE,Korea KARE,regression,SNN-FS,7.0,3.136356914300021,0.04,50
FPG_KARE,Korea KARE,regression,StabilitySelection,15.0,0.0,0.0,50
FPG_KARE,Korea KARE,regression,Stabl-RP,11.94,1.3311035777481321,0.0,50
FPG_KARE,Korea KARE,regression,geeVerse,3.74,2.9123943442340585,0.22,50
FPG_KARE,Korea KARE,regression,glmmLasso,2.44,1.4165206007132045,0.3,50
