Task,Method,Feature,SelectionEvents,RepeatsSelected,MeanRank,Repeats,RepeatSelectionFrequency
BRIST1D,Boruta,insulin_mean,249,50,1.4417670682730923,50,1.0
BRIST1D,Boruta,cals_mean,235,50,1.804255319148936,50,1.0
BRIST1D,Boruta,insulin_sd,178,50,3.252808988764045,50,1.0
BRIST1D,Boruta,hr_mean,127,50,3.4173228346456694,50,1.0
BRIST1D,Boruta,carbs_mean,103,49,5.271844660194175,50,0.98
BRIST1D,Boruta,dist_mean,106,47,4.632075471698113,50,0.94
BRIST1D,Boruta,cals_sd,68,46,8.102941176470589,50,0.92
BRIST1D,Boruta,steps_mean,83,45,6.783132530120482,50,0.9
BRIST1D,Boruta,carbs_sd,65,44,5.892307692307693,50,0.88
BRIST1D,Boruta,steps_sd,48,37,9.520833333333334,50,0.74
BRIST1D,Boruta,dist_sd,20,19,8.7,50,0.38
BRIST1D,Boruta,hr_sd,18,15,9.555555555555555,50,0.3
BRIST1D,ElasticNet,insulin_mean,250,50,1.316,50,1.0
BRIST1D,ElasticNet,insulin_sd,181,50,2.546961325966851,50,1.0
BRIST1D,ElasticNet,cals_mean,177,50,2.9604519774011298,50,1.0
BRIST1D,ElasticNet,hr_mean,191,50,3.2041884816753927,50,1.0
BRIST1D,ElasticNet,dist_mean,153,50,3.6862745098039214,50,1.0
BRIST1D,ElasticNet,hr_sd,114,48,5.307017543859649,50,0.96
BRIST1D,ElasticNet,steps_sd,78,43,8.397435897435898,50,0.86
BRIST1D,ElasticNet,carbs_mean,73,42,6.945205479452055,50,0.84
BRIST1D,ElasticNet,carbs_sd,75,41,7.346666666666667,50,0.82
BRIST1D,ElasticNet,cals_sd,74,41,9.283783783783784,50,0.82
BRIST1D,ElasticNet,dist_sd,34,27,9.705882352941176,50,0.54
BRIST1D,LLSS,dist_mean,217,50,1.9723502304147464,50,1.0
BRIST1D,LLSS,steps_mean,173,50,2.8497109826589595,50,1.0
BRIST1D,LLSS,dist_sd,151,50,2.880794701986755,50,1.0
BRIST1D,LLSS,insulin_mean,116,50,3.6724137931034484,50,1.0
BRIST1D,LLSS,hr_mean,134,49,2.8134328358208953,50,0.98
BRIST1D,LLSS,steps_sd,142,49,3.683098591549296,50,0.98
BRIST1D,LLSS,cals_mean,70,42,4.542857142857143,50,0.84
BRIST1D,LLSS,hr_sd,73,41,4.616438356164384,50,0.82
BRIST1D,LLSS,carbs_sd,44,35,5.840909090909091,50,0.7
BRIST1D,LLSS,insulin_sd,44,31,8.5,50,0.62
BRIST1D,LLSS,cals_sd,17,17,8.941176470588236,50,0.34
BRIST1D,LLSS,carbs_mean,14,11,9.642857142857142,50,0.22
BRIST1D,Lasso,insulin_mean,241,50,1.6639004149377594,50,1.0
BRIST1D,Lasso,cals_mean,204,50,2.6029411764705883,50,1.0
BRIST1D,Lasso,hr_mean,201,50,2.890547263681592,50,1.0
BRIST1D,Lasso,insulin_sd,157,50,3.1337579617834397,50,1.0
BRIST1D,Lasso,dist_mean,162,50,3.7962962962962963,50,1.0
BRIST1D,Lasso,hr_sd,120,47,5.216666666666667,50,0.94
BRIST1D,Lasso,cals_sd,86,45,8.593023255813954,50,0.9
BRIST1D,Lasso,steps_sd,86,45,9.081395348837209,50,0.9
BRIST1D,Lasso,carbs_sd,80,44,6.3,50,0.88
BRIST1D,Lasso,carbs_mean,64,39,6.703125,50,0.78
BRIST1D,Lasso,dist_sd,45,34,9.733333333333333,50,0.68
BRIST1D,LongGroupLasso,hr_mean,213,50,1.5070422535211268,50,1.0
BRIST1D,LongGroupLasso,insulin_mean,250,50,1.948,50,1.0
BRIST1D,LongGroupLasso,dist_mean,208,50,3.4278846153846154,50,1.0
BRIST1D,LongGroupLasso,cals_mean,133,50,4.082706766917293,50,1.0
BRIST1D,LongGroupLasso,hr_sd,141,50,4.2695035460992905,50,1.0
BRIST1D,LongGroupLasso,steps_mean,129,48,4.488372093023256,50,0.96
BRIST1D,LongGroupLasso,carbs_sd,92,46,5.510869565217392,50,0.92
BRIST1D,LongGroupLasso,cals_sd,66,41,8.56060606060606,50,0.82
BRIST1D,LongGroupLasso,carbs_mean,62,40,8.5,50,0.8
BRIST1D,LongGroupLasso,insulin_sd,52,35,6.288461538461538,50,0.7
BRIST1D,LongGroupLasso,steps_sd,45,31,9.133333333333333,50,0.62
BRIST1D,LongGroupLasso,dist_sd,17,17,6.117647058823529,50,0.34
BRIST1D,MutualInfo,insulin_mean,246,50,1.2032520325203253,50,1.0
BRIST1D,MutualInfo,cals_mean,246,50,2.16260162601626,50,1.0
BRIST1D,MutualInfo,dist_mean,138,50,3.282608695652174,50,1.0
BRIST1D,MutualInfo,carbs_mean,163,50,3.331288343558282,50,1.0
BRIST1D,MutualInfo,insulin_sd,114,49,4.605263157894737,50,0.98
BRIST1D,MutualInfo,steps_mean,73,44,6.3561643835616435,50,0.88
BRIST1D,MutualInfo,steps_sd,68,43,6.955882352941177,50,0.86
BRIST1D,MutualInfo,hr_mean,63,42,6.444444444444445,50,0.84
BRIST1D,MutualInfo,carbs_sd,58,39,7.551724137931035,50,0.78
BRIST1D,MutualInfo,hr_sd,50,36,9.02,50,0.72
BRIST1D,MutualInfo,cals_sd,42,32,8.261904761904763,50,0.64
BRIST1D,MutualInfo,dist_sd,2,2,9.0,50,0.04
BRIST1D,OutcomeSNN-FS,insulin_mean,225,50,1.8266666666666667,50,1.0
BRIST1D,OutcomeSNN-FS,cals_mean,200,50,2.165,50,1.0
BRIST1D,OutcomeSNN-FS,dist_mean,155,50,3.270967741935484,50,1.0
BRIST1D,OutcomeSNN-FS,insulin_sd,130,50,3.4,50,1.0
BRIST1D,OutcomeSNN-FS,hr_mean,156,50,3.5705128205128207,50,1.0
BRIST1D,OutcomeSNN-FS,steps_sd,131,50,5.282442748091603,50,1.0
