TaskType,Method,MeanRank,SDRank,WinRate,Cohorts
classification,LLSS,3.5,3.785938897200183,0.5,4
classification,mRMR,4.125,2.174664725116648,0.0,4
classification,LongGroupLasso,4.625,2.4281337140555777,0.25,4
classification,Boruta,5.25,3.304037933599835,0.25,4
classification,RandomForest,6.0,1.8257418583505538,0.0,4
classification,OutcomeSNN-FS,7.0,3.7416573867739413,0.0,4
classification,MutualInfo,7.125,5.359959576962001,0.0,4
classification,Stabl-RP,7.125,3.705289012569285,0.0,4
classification,SNN-FS,7.25,2.0615528128088303,0.0,4
classification,Lasso,7.625,4.497684589504545,0.0,4
classification,ElasticNet,9.0,3.1622776601683795,0.0,4
classification,StabilitySelection,9.375,1.9737865470545022,0.0,4
regression,LongGroupLasso,4.4,1.5572411502397439,0.0,5
regression,LLSS,5.0,4.077376607575022,0.0,5
regression,Stabl-RP,5.7,5.263078946776307,0.4,5
regression,geeVerse,6.15,5.0236938600993595,0.4,5
regression,mRMR,6.25,3.25,0.0,5
regression,ElasticNet,6.5,3.4641016151377544,0.2,5
regression,OutcomeSNN-FS,7.3,2.9916550603303182,0.0,5
regression,Boruta,7.8,2.3874672772626644,0.0,5
regression,Lasso,7.8,3.5812009158939966,0.0,5
regression,MutualInfo,8.1,2.6551836094703507,0.0,5
regression,RandomForest,8.3,3.03315017762062,0.0,5
regression,SNN-FS,8.4,2.534758371127315,0.0,5
regression,StabilitySelection,9.3,2.9916550603303182,0.0,5
