Task,Dataset,Cohort,TaskType,Outcome,DataFile,Observations,Participants,UniqueTimeValues,MedianVisitsPerParticipant,MinVisitsPerParticipant,MaxVisitsPerParticipant,FeatureCandidates,TimeMinimum,TimeMaximum
PE,Stanford PE,Stanford PE,classification,PE versus term control,/home/zliu/ctsnn/project/data/processed/PE_final.csv,98,36,3,3.0,2,3,1305,,
PE_LOPE_MATCHED,Stanford PE,Stanford PE,classification,Late-onset PE versus term control,/home/zliu/ctsnn/project/data/external/processed/Stanford_SomaLogic_longitudinal_PE.csv,54,31,33,2.0,1,2,1116,8.0,18.57
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,/home/zliu/ctsnn/project/data/processed/FPG_final.csv,1864,601,4,3.0,1,4,46,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,/home/zliu/ctsnn/project/data/processed/FPG_KARE_final.csv,2046,691,3,3.0,2,3,67,0.0,2.0
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,/home/zliu/ctsnn/project/data/processed/status_KARE_final.csv,2046,691,3,3.0,2,3,67,0.0,2.0
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,/home/zliu/ctsnn/project/data/processed/IGG_final.csv,465,257,4,2.0,1,4,191,1.0,4.0
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,/home/zliu/ctsnn/project/data/processed/IGM_final.csv,465,257,4,2.0,1,4,191,1.0,4.0
TRA,Korea COVID-19 (CODA),Korea COVID-19,regression,TCR-alpha clonal diversity,/home/zliu/ctsnn/project/data/processed/TRA_final.csv,465,257,4,2.0,1,4,191,1.0,4.0
TRB,Korea COVID-19 (CODA),Korea COVID-19,regression,TCR-beta clonal diversity,/home/zliu/ctsnn/project/data/processed/TRB_final.csv,465,257,4,2.0,1,4,191,1.0,4.0
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,/home/zliu/ctsnn/project/data/processed/OLINK_COVID_LONGITUDINAL.csv,246,52,36,5.0,1,10,436,-4.0,41.0
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,/home/zliu/ctsnn/project/data/processed/BRIST1D_DAILY.csv,3655,20,226,198.0,66,223,12,0.0,225.0
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,/home/zliu/ctsnn/project/data/processed/GSE41848_MS_LONGITUDINAL.csv,212,103,3,2.0,1,3,1000,0.0,2.0
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,/home/zliu/ctsnn/project/data/processed/GSE41849_MS_LONGITUDINAL.csv,102,52,3,2.0,1,3,1000,0.0,2.0
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",/home/zliu/ctsnn/project/data/processed/GSE48023_H1N1_RESPONSE_LONGITUDINAL.csv,417,110,4,4.0,3,4,1000,0.0,14.0
