Method,DatasetCharacteristic,SpearmanRhoWithRank,PValue,Tasks,BHAdjustedP
Boruta,Participants,0.14032433346447934,0.632313583724972,14,0.7954912827507713
Boruta,Feature to participant ratio,-0.24473467244152367,0.39907547034060353,14,0.7543314197183061
Boruta,Visits per participant,0.21867912543912854,0.4525927595627923,14,0.7543314197183061
ElasticNet,Participants,-0.25614759283198607,0.37672825780651764,14,0.7543314197183061
ElasticNet,Feature to participant ratio,0.1868882953189817,0.5223337909352994,14,0.7543314197183061
ElasticNet,Visits per participant,-0.28285669486148146,0.3271418673878158,14,0.7543314197183061
LLSS,Participants,0.3690355532816899,0.19412046409583286,14,0.7543314197183061
LLSS,Feature to participant ratio,-0.24389040096294665,0.4007555651524089,14,0.7543314197183061
LLSS,Visits per participant,-0.16181030839666377,0.5804993951515295,14,0.7546492136969883
Lasso,Participants,-0.3096044817708354,0.281400233001669,14,0.7543314197183061
Lasso,Feature to participant ratio,0.1824385740018631,0.5324608405346342,14,0.7543314197183061
Lasso,Visits per participant,0.004753894031285403,0.9871315450044963,14,0.9871315450044963
LongGroupLasso,Participants,-0.04900214819394517,0.867878995483206,14,0.8907179164169745
LongGroupLasso,Feature to participant ratio,0.06007123778110127,0.8383590645192897,14,0.8836757707095215
LongGroupLasso,Visits per participant,0.2614641717206972,0.36655226394316326,14,0.7543314197183061
MutualInfo,Participants,0.3764255929443969,0.1846506705823427,14,0.7543314197183061
MutualInfo,Feature to participant ratio,-0.08899442634237224,0.7622392786139516,14,0.8443620464301369
MutualInfo,Visits per participant,-0.406457939674902,0.14925055806649992,14,0.7543314197183061
OutcomeSNN-FS,Participants,-0.45661092635267075,0.10074588639042678,14,0.7543314197183061
OutcomeSNN-FS,Feature to participant ratio,0.22248606585593061,0.4445620469953941,14,0.7543314197183061
OutcomeSNN-FS,Visits per participant,0.36604984040897603,0.19803249527374514,14,0.7543314197183061
RandomForest,Participants,0.08241270378072595,0.7794111197816649,14,0.8443620464301369
RandomForest,Feature to participant ratio,-0.20246231992889685,0.4875827836627063,14,0.7543314197183061
RandomForest,Visits per participant,0.24957943664248364,0.3895059227036095,14,0.7543314197183061
SNN-FS,Participants,-0.27173918543915043,0.3473139256717217,14,0.7543314197183061
SNN-FS,Feature to participant ratio,0.11791761490364325,0.6880685044716639,14,0.8131718689210573
SNN-FS,Visits per participant,-0.10220872167263617,0.7280751798322711,14,0.8351450592193698
StabilitySelection,Participants,0.2017988977159694,0.48904059231106606,14,0.7543314197183061
StabilitySelection,Feature to participant ratio,-0.16593456503871715,0.570755645772712,14,0.7546492136969883
StabilitySelection,Visits per participant,0.17846725190808505,0.5415712756951941,14,0.7543314197183061
Stabl-RP,Participants,-0.29624025953612304,0.30375800726198066,14,0.7543314197183061
Stabl-RP,Feature to participant ratio,0.12014247556220253,0.6824604851186056,14,0.8131718689210573
Stabl-RP,Visits per participant,0.20917133737655777,0.47295573186101275,14,0.7543314197183061
geeVerse,Participants,0.5333667802967851,0.13919735761772292,9,0.7543314197183061
geeVerse,Feature to participant ratio,-0.2710552490032842,0.4805110850001113,9,0.7543314197183061
geeVerse,Visits per participant,-0.4078629687258475,0.2758434065769316,9,0.7543314197183061
mRMR,Participants,0.51006781529152,0.062402135539921126,14,0.7543314197183061
mRMR,Feature to participant ratio,-0.5962626564938941,0.02441389617763853,14,0.7543314197183061
mRMR,Visits per participant,0.3375264762212636,0.23792063674652633,14,0.7543314197183061
