Method,MeanRank,SDRankAcrossTasks,Tasks,MeanJaccard,SDJaccard,StabilityCells,MethodClass
Boruta,6.864285714285714,1.5865963292809904,14,0.31716681433601884,0.22004231045336656,42,Tree-based
ElasticNet,7.636428571428572,2.7987156591299764,14,0.31756191035280473,0.1760184935185639,42,General-purpose
LLSS,5.740714285714286,2.70074765798064,14,0.38106173313238273,0.14716547323959311,42,Longitudinal-aware
Lasso,7.284999999999999,2.7132998643434445,14,0.3266592776293974,0.17973447993492592,42,General-purpose
LongGroupLasso,5.158571428571428,1.4178144456161401,14,0.4129683830170918,0.17264145851820575,42,Longitudinal-aware
MutualInfo,8.042857142857143,2.5729373473535246,14,0.253841094046192,0.17895611989053306,42,Filter
OutcomeSNN-FS,6.323571428571428,2.2288893651767023,14,0.3438545500606391,0.1716633793963239,42,Proposed
RandomForest,6.948571428571428,1.6257110025266677,14,0.35802943378214747,0.22046962531388498,42,Tree-based
SNN-FS,7.2057142857142855,1.946802958247639,14,0.3194199148822947,0.16991478693759562,42,Proposed
StabilitySelection,8.487142857142857,2.346720882657096,14,0.30165013312754513,0.1338054931054205,42,Resampling
Stabl-RP,5.905714285714285,2.7156914809639585,14,0.339816630151602,0.18971245598595204,42,Resampling
geeVerse,7.564444444444444,4.366128465560511,9,0.40299134447702506,0.21112675757312557,27,Longitudinal-aware
mRMR,5.895714285714286,1.719220370202343,14,0.37205255456059955,0.1525721890374699,42,Filter
