Stratifier,Stratum,Method,MeanRank,SDRank,Tasks
FeatureStratum,100–300,glmmLasso,3.9850000000000003,0.7689603370785778,4
FeatureStratum,100–300,PGEE,4.5600000000000005,0.8547904226573121,4
FeatureStratum,100–300,Stabl-RP,5.385,2.1884164746836157,4
FeatureStratum,100–300,LongGroupLasso,6.095000000000001,1.542930112912874,4
FeatureStratum,100–300,OutcomeSNN-FS,6.125,3.7263878846232137,4
FeatureStratum,100–300,mRMR,7.105,2.1796253500697467,4
FeatureStratum,100–300,LLSS,7.569999999999999,2.106149725605154,4
FeatureStratum,100–300,Boruta,8.675,1.7429763815573256,4
FeatureStratum,100–300,RandomForest,8.715,2.3473318186116474,4
FeatureStratum,100–300,StabilitySelection,9.395,1.2455119429375217,4
FeatureStratum,100–300,SNN-FS,9.469999999999999,2.1593517545782115,4
FeatureStratum,100–300,Lasso,9.59,2.82694181050831,4
FeatureStratum,100–300,geeVerse,10.864999999999998,2.919012390061634,4
FeatureStratum,100–300,MutualInfo,10.865,1.2082356282337203,4
FeatureStratum,100–300,ElasticNet,11.600000000000001,2.1530133921243184,4
FeatureStratum,<100,glmmLasso,3.9449999999999994,1.5386032627028972,4
FeatureStratum,<100,PGEE,5.1899999999999995,3.7376819911098202,4
FeatureStratum,<100,ElasticNet,6.077500000000001,3.069705469042049,4
FeatureStratum,<100,LongGroupLasso,6.405,2.063871766042326,4
FeatureStratum,<100,Lasso,6.9575000000000005,3.0034466312333015,4
FeatureStratum,<100,SNN-FS,7.795000000000001,2.3703375287076733,4
FeatureStratum,<100,OutcomeSNN-FS,8.004999999999999,1.6052725625263768,4
FeatureStratum,<100,Stabl-RP,8.855,4.260402954338161,4
FeatureStratum,<100,geeVerse,8.950000000000001,6.077291063184869,4
FeatureStratum,<100,LLSS,8.98,4.618426860595139,4
FeatureStratum,<100,RandomForest,9.04,1.3747242147669718,4
FeatureStratum,<100,mRMR,9.190000000000001,1.5047037360667828,4
FeatureStratum,<100,Boruta,9.26,1.7030952214522042,4
FeatureStratum,<100,MutualInfo,10.280000000000001,2.9245170541475733,4
FeatureStratum,<100,StabilitySelection,11.07,4.541321393603408,4
FeatureStratum,>300,geeVerse,2.96,,1
FeatureStratum,>300,LLSS,5.271666666666667,2.064775209718159,6
FeatureStratum,>300,glmmLasso,5.843333333333334,1.2047683041426125,6
FeatureStratum,>300,mRMR,6.0183333333333335,1.315483434584665,6
FeatureStratum,>300,PGEE,6.391666666666666,1.6197582124090824,6
FeatureStratum,>300,LongGroupLasso,6.503333333333333,1.8499585580943874,6
FeatureStratum,>300,Stabl-RP,7.2299999999999995,2.7589200785814727,6
FeatureStratum,>300,Boruta,7.428333333333334,2.073918191893467,6
FeatureStratum,>300,RandomForest,7.776666666666666,1.996563714652419,6
FeatureStratum,>300,MutualInfo,8.375,3.5059535079632758,6
FeatureStratum,>300,OutcomeSNN-FS,8.501666666666667,2.050360130968866,6
FeatureStratum,>300,SNN-FS,8.813333333333333,2.5188701170696883,6
FeatureStratum,>300,Lasso,9.379999999999999,3.3233296556315324,6
FeatureStratum,>300,ElasticNet,9.556666666666665,2.403502999096666,6
FeatureStratum,>300,StabilitySelection,9.916666666666666,1.8418324208968269,6
FollowUpStratum,2–4,glmmLasso,5.018,1.8852373855830467,5
FollowUpStratum,2–4,ElasticNet,6.086,2.4925248243497995,5
FollowUpStratum,2–4,LongGroupLasso,6.601999999999999,2.462827643177654,5
FollowUpStratum,2–4,PGEE,6.847999999999999,2.7393648898969265,5
FollowUpStratum,2–4,Lasso,7.058,3.229058686366663,5
FollowUpStratum,2–4,SNN-FS,7.351999999999999,2.443792135186624,5
FollowUpStratum,2–4,Stabl-RP,7.56,4.28214899320423,5
FollowUpStratum,2–4,LLSS,7.902000000000001,4.628327991834632,5
FollowUpStratum,2–4,OutcomeSNN-FS,8.088,1.2951138946054126,5
FollowUpStratum,2–4,mRMR,8.352,2.180761334947041,5
FollowUpStratum,2–4,geeVerse,8.780000000000001,6.281422344235951,4
FollowUpStratum,2–4,Boruta,8.98,1.6185796242384864,5
FollowUpStratum,2–4,RandomForest,9.006,1.6571602215839,5
FollowUpStratum,2–4,MutualInfo,10.218,2.921475654528033,5
FollowUpStratum,2–4,StabilitySelection,10.906,4.066900539723095,5
FollowUpStratum,>4,PGEE,2.74,1.4142135623730951,2
FollowUpStratum,>4,geeVerse,3.64,,1
FollowUpStratum,>4,glmmLasso,4.02,1.0465180361560904,2
FollowUpStratum,>4,LLSS,5.550000000000001,2.7294321753800737,2
FollowUpStratum,>4,MutualInfo,6.415,2.5809397513308987,2
FollowUpStratum,>4,LongGroupLasso,7.01,0.7495331880577402,2
FollowUpStratum,>4,mRMR,7.78,0.2828427124746193,2
FollowUpStratum,>4,RandomForest,7.96,3.2244069222106573,2
FollowUpStratum,>4,Boruta,8.45,2.814284989122459,2
FollowUpStratum,>4,Stabl-RP,8.55,3.832518754031087,2
FollowUpStratum,>4,OutcomeSNN-FS,9.815000000000001,0.45961940777125615,2
FollowUpStratum,>4,StabilitySelection,10.059999999999999,2.2061731573020276,2
FollowUpStratum,>4,SNN-FS,10.125,0.47376154339498805,2
FollowUpStratum,>4,ElasticNet,10.864999999999998,1.6617009357883865,2
FollowUpStratum,>4,Lasso,11.34,2.2203152929257595,2
FollowUpStratum,≤2,glmmLasso,4.807142857142857,1.383169238689591,7
FollowUpStratum,≤2,PGEE,5.3757142857142854,1.255970503141656,7
FollowUpStratum,≤2,LongGroupLasso,5.998571428571429,1.3271828380876112,7
FollowUpStratum,≤2,mRMR,6.281428571428573,1.898863068359842,7
FollowUpStratum,≤2,Stabl-RP,6.49142857142857,2.4212354186202036,7
FollowUpStratum,≤2,LLSS,6.745714285714286,2.296975236717897,7
FollowUpStratum,≤2,OutcomeSNN-FS,6.779999999999999,3.2149287187536,7
FollowUpStratum,≤2,Boruta,7.7871428571428565,2.0628193836407034,7
FollowUpStratum,≤2,RandomForest,8.104285714285714,1.927017186766957,7
FollowUpStratum,≤2,Lasso,9.214285714285714,2.841331009361969,7
FollowUpStratum,≤2,SNN-FS,9.275714285714287,2.187554625168304,7
FollowUpStratum,≤2,StabilitySelection,9.53,1.4656170486635767,7
FollowUpStratum,≤2,MutualInfo,10.129999999999999,2.7013885318480195,7
FollowUpStratum,≤2,ElasticNet,10.84142857142857,2.3580247989325627,7
FollowUpStratum,≤2,geeVerse,10.864999999999998,2.919012390061634,4
ParticipantStratum,100–500,glmmLasso,5.1000000000000005,1.8272602441907393,6
ParticipantStratum,100–500,PGEE,5.1899999999999995,1.1831990534140904,6
ParticipantStratum,100–500,Stabl-RP,5.636666666666667,2.5003493089299877,6
ParticipantStratum,100–500,OutcomeSNN-FS,6.596666666666667,3.270679847778848,6
ParticipantStratum,100–500,mRMR,6.6433333333333335,1.8433628689616885,6
ParticipantStratum,100–500,LongGroupLasso,6.913333333333334,1.908074072636245,6
ParticipantStratum,100–500,LLSS,7.090000000000001,2.3207843501712953,6
ParticipantStratum,100–500,Boruta,8.31,2.3465975368605503,6
ParticipantStratum,100–500,RandomForest,8.81,2.3410681322849194,6
ParticipantStratum,100–500,SNN-FS,9.206666666666665,2.1667179481110748,6
ParticipantStratum,100–500,geeVerse,9.283999999999999,4.346064886768259,5
ParticipantStratum,100–500,Lasso,9.346666666666666,2.7946424935341314,6
ParticipantStratum,100–500,StabilitySelection,9.656666666666666,1.167932646459832,6
ParticipantStratum,100–500,MutualInfo,10.603333333333333,2.266324483975467,6
ParticipantStratum,100–500,ElasticNet,10.659999999999998,2.2244459984454554,6
ParticipantStratum,<100,geeVerse,3.64,,1
ParticipantStratum,<100,glmmLasso,4.736,0.9048370018959219,5
ParticipantStratum,<100,LLSS,5.37,1.8583325859490276,5
ParticipantStratum,<100,PGEE,5.438,2.7457640102528837,5
ParticipantStratum,<100,LongGroupLasso,5.8919999999999995,1.108408769362639,5
ParticipantStratum,<100,mRMR,6.45,1.5653753543479596,5
ParticipantStratum,<100,MutualInfo,7.6659999999999995,2.8578540900472857,5
ParticipantStratum,<100,RandomForest,7.779999999999999,1.749385606434442,5
ParticipantStratum,<100,Boruta,7.970000000000001,1.7494856386949849,5
ParticipantStratum,<100,Stabl-RP,8.472,2.6494754197765262,5
ParticipantStratum,<100,SNN-FS,9.196000000000002,2.5007258946154014,5
ParticipantStratum,<100,OutcomeSNN-FS,9.214,1.5935902861149722,5
ParticipantStratum,<100,StabilitySelection,9.527999999999999,2.0451087990617998,5
ParticipantStratum,<100,Lasso,9.666,3.1646532195487076,5
ParticipantStratum,<100,ElasticNet,9.894,2.5930349014234264,5
ParticipantStratum,>500,glmmLasso,4.166666666666667,1.804475916529044,3
ParticipantStratum,>500,ElasticNet,4.873333333333334,2.3312085563787153,3
ParticipantStratum,>500,Lasso,6.0200000000000005,2.87360400890589,3
ParticipantStratum,>500,LongGroupLasso,6.026666666666667,2.351708598728451,3
ParticipantStratum,>500,PGEE,6.340000000000001,3.6083791375075873,3
ParticipantStratum,>500,SNN-FS,6.906666666666666,1.9217006357217379,3
ParticipantStratum,>500,OutcomeSNN-FS,7.293333333333333,0.909138786618046,3
ParticipantStratum,>500,Stabl-RP,8.053333333333333,4.834307947714267,3
ParticipantStratum,>500,RandomForest,8.64,1.36923336214102,3
ParticipantStratum,>500,Boruta,8.866666666666667,1.850009008987073,3
ParticipantStratum,>500,LLSS,9.479999999999999,5.522209702646215,3
ParticipantStratum,>500,mRMR,9.726666666666667,1.2915623613799425,3
ParticipantStratum,>500,geeVerse,10.72,6.050024793337627,3
ParticipantStratum,>500,MutualInfo,10.96,3.1709304628137147,3
ParticipantStratum,>500,StabilitySelection,11.926666666666668,5.150935190170163,3
TaskType,classification,glmmLasso,5.54,1.0603065594440129,5
TaskType,classification,LLSS,5.566000000000001,2.163187462981422,5
TaskType,classification,LongGroupLasso,5.848,1.0280904629457468,5
TaskType,classification,mRMR,6.138,1.4337782255286207,5
TaskType,classification,PGEE,6.35,1.8073461206974162,5
TaskType,classification,Boruta,6.8180000000000005,1.607053203848585,5
TaskType,classification,RandomForest,7.0680000000000005,1.1028463174894314,5
TaskType,classification,Stabl-RP,8.016,2.2093166364285586,5
TaskType,classification,OutcomeSNN-FS,8.266,2.1996431528773024,5
TaskType,classification,SNN-FS,8.424000000000001,2.606536015481083,5
TaskType,classification,MutualInfo,8.674,3.8332923186211616,5
TaskType,classification,Lasso,8.948,3.522210953364378,5
TaskType,classification,ElasticNet,9.644,2.6765332054730795,5
TaskType,classification,StabilitySelection,9.7,1.9718899563616623,5
TaskType,regression,glmmLasso,4.342222222222222,1.546138559264481,9
TaskType,regression,PGEE,5.066666666666666,2.437765370169984,9
TaskType,regression,LongGroupLasso,6.642222222222222,1.9744985298663669,9
TaskType,regression,Stabl-RP,6.695555555555555,3.63788094606981,9
TaskType,regression,OutcomeSNN-FS,7.355555555555556,2.7958858663718336,9
TaskType,regression,LLSS,7.777777777777778,3.519125522689471,9
TaskType,regression,mRMR,7.844444444444445,2.1316608027023856,9
TaskType,regression,Lasso,8.636666666666667,3.049180217697865,9
TaskType,regression,SNN-FS,8.86888888888889,2.249402389771806,9
TaskType,regression,ElasticNet,8.87,3.592387785303808,9
TaskType,regression,Boruta,9.135555555555555,1.6020854464658798,9
TaskType,regression,geeVerse,9.135555555555555,4.829614661417387,9
TaskType,regression,RandomForest,9.148888888888887,1.8612391332419138,9
TaskType,regression,MutualInfo,10.162222222222223,2.314140109078196,9
TaskType,regression,StabilitySelection,10.317777777777778,3.013709416059293,9
