Scope,TaskType,Metric,MethodA,MethodB,MeanDifference_AminusB_oriented,MedianDifference_AminusB_oriented,NPairedRepeats,PValue,PValueHolmWithinTask
BRIST1D,regression,RMSE,Lasso,ElasticNet,0.0016889094482778067,0.001568979618264854,50,0.6580155776157375,1.0
BRIST1D,regression,RMSE,Lasso,StabilitySelection,-0.008547672631369206,-0.006109531165255033,50,0.07556206690378708,1.0
BRIST1D,regression,RMSE,Lasso,Stabl-RP,0.006010324418771549,0.007813867531335617,50,0.045027510990479414,1.0
BRIST1D,regression,RMSE,Lasso,LongGroupLasso,-0.008592639993845323,-0.00979784233912595,50,0.0013303578723942167,0.06784825149210505
BRIST1D,regression,RMSE,Lasso,LLSS,-0.01492378108202633,-0.009349189855652695,50,0.001715436079566146,0.08234093181917501
BRIST1D,regression,RMSE,Lasso,RandomForest,0.0019745192172494663,0.0020037500954209753,50,0.645875956795086,1.0
BRIST1D,regression,RMSE,Lasso,MutualInfo,-0.006782247761247207,-0.006872620598133317,50,0.04193213473556767,1.0
BRIST1D,regression,RMSE,Lasso,Boruta,0.002401978126256705,0.005174855142429435,50,0.3829036913273498,1.0
BRIST1D,regression,RMSE,Lasso,mRMR,-0.01145116731790326,-0.007364923946309498,50,0.007609452352863144,0.3119875464673889
BRIST1D,regression,RMSE,Lasso,SNN-FS,0.0024746949111947546,-0.00041092792810404344,50,0.49032624846387485,1.0
BRIST1D,regression,RMSE,Lasso,OutcomeSNN-FS,0.002998838544271778,0.0034752891156260013,50,0.4843032319103049,1.0
BRIST1D,regression,RMSE,Lasso,geeVerse,-0.05686135430816312,-0.0549393408911828,50,8.842704346534447e-12,7.51629869455428e-10
BRIST1D,regression,RMSE,Lasso,glmmLasso,-0.053181971981365025,-0.04991805043741848,50,7.638334409421077e-14,7.409184377138445e-12
BRIST1D,regression,RMSE,Lasso,PGEE,-0.08262545986012913,-0.07332486766785817,50,1.7763568394002505e-15,1.865174681370263e-13
BRIST1D,regression,RMSE,ElasticNet,StabilitySelection,-0.010236582079647012,-0.005092740676327812,50,0.06346609527860991,1.0
BRIST1D,regression,RMSE,ElasticNet,Stabl-RP,0.004321414970493742,0.008165694778110022,50,0.08054833435456032,1.0
BRIST1D,regression,RMSE,ElasticNet,LongGroupLasso,-0.01028154944212313,-0.008111313673472953,50,0.0008806696990912855,0.0484368334500207
BRIST1D,regression,RMSE,ElasticNet,LLSS,-0.016612690530304137,-0.013501725926223118,50,0.0013800985654270903,0.06900492827135452
BRIST1D,regression,RMSE,ElasticNet,RandomForest,0.00028560976897165966,0.005567872092823722,50,0.6876822045635382,1.0
BRIST1D,regression,RMSE,ElasticNet,MutualInfo,-0.008471157209525014,-0.0106034291596514,50,0.0054056035788701,0.24325216104915448
