Task,Dataset,Cohort,TaskType,Method,Budget,MeanJaccard,SDJaccard,MedianJaccard,MinJaccard,MaxJaccard,PairCount,Repeats,Folds
BRIST1D,BrisT1D,BrisT1D,regression,RandomForest,3,0.7457959183673469,0.25922063417337643,1.0,0.2,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,geeVerse,3,0.676130612244898,0.24284345119455114,0.5,0.2,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,MutualInfo,3,0.6511510204081633,0.25174906939821606,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,Boruta,3,0.6208816326530613,0.25524518481953523,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,SNN-FS,3,0.5550693877551021,0.29263635762453777,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,ElasticNet,3,0.5485224489795918,0.26412393183059735,0.5,0.2,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,LongGroupLasso,3,0.5476734693877552,0.25386604049212547,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,Lasso,3,0.537730612244898,0.2709089302989279,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,mRMR,3,0.5024979591836735,0.2622790448955607,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,OutcomeSNN-FS,3,0.42323265306122454,0.2548241262421075,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,StabilitySelection,3,0.4132734693877551,0.23902796397120168,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,LLSS,3,0.3655183673469388,0.2513638432802813,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,Stabl-RP,3,0.30352653061224494,0.22883420324887463,0.2,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,RandomForest,5,0.6500256559766763,0.20519540668463143,0.6,0.14285714285714285,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,geeVerse,5,0.6036237123420797,0.19066514194701017,0.6,0.25,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,MutualInfo,5,0.5942810495626821,0.19621326000528816,0.6,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,Boruta,5,0.5733963070942663,0.19393097433705542,0.6,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,ElasticNet,5,0.5716124392614188,0.20560974345633307,0.6,0.14285714285714285,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,Lasso,5,0.5620283770651118,0.20233105181982863,0.6,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,LongGroupLasso,5,0.5595797862001943,0.1995262020732794,0.6,0.1111111111111111,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,SNN-FS,5,0.5499090379008746,0.2156260268729362,0.6,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,mRMR,5,0.5124989957887918,0.21270041425900557,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,StabilitySelection,5,0.468247619047619,0.20143928816758422,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,OutcomeSNN-FS,5,0.4482700356333009,0.21012715474945864,0.42857142857142855,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,LLSS,5,0.42017052154195017,0.22156677344303513,0.42857142857142855,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,Stabl-RP,5,0.3464462585034014,0.20445885402601852,0.3333333333333333,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,RandomForest,10,0.5520979591836733,0.26395196623382144,0.5,0.14285714285714285,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,MutualInfo,10,0.5234515416556232,0.23886422645632208,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,geeVerse,10,0.52147429984981,0.23116149888239176,0.5,0.18181818181818182,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,Boruta,10,0.4993356303560385,0.2250566090924955,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,LongGroupLasso,10,0.49851893865771413,0.20182044860053297,0.5,0.1111111111111111,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,Lasso,10,0.48688721618517533,0.2299968549354716,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,ElasticNet,10,0.4866428129693435,0.2308708171367852,0.5,0.14285714285714285,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,SNN-FS,10,0.4780664723032069,0.24156888255635994,0.42857142857142855,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,mRMR,10,0.46956656948493675,0.20984931259112397,0.5,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,StabilitySelection,10,0.4378500927643785,0.21869911187577964,0.3333333333333333,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,OutcomeSNN-FS,10,0.418733586594811,0.20988296014223856,0.3333333333333333,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,LLSS,10,0.39900213799805634,0.2102031889884407,0.3333333333333333,0.0,1.0,6125,50,5
BRIST1D,BrisT1D,BrisT1D,regression,Stabl-RP,10,0.3480655417145213,0.2000849797493169,0.3,0.0,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,MutualInfo,3,0.8918367346938776,0.20588652551130018,1.0,0.5,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,LongGroupLasso,3,0.8653061224489796,0.22183897949868425,1.0,0.5,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,Stabl-RP,3,0.8166530612244898,0.24097064080796518,1.0,0.5,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,OutcomeSNN-FS,3,0.8020408163265306,0.24454348682604404,1.0,0.5,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,RandomForest,3,0.7743673469387755,0.2488299443265707,1.0,0.5,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,Boruta,3,0.7088979591836735,0.2466182315377242,0.5,0.5,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,ElasticNet,3,0.6773877551020409,0.2392421507085283,0.5,0.5,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,LLSS,3,0.6622857142857143,0.23412636223725014,0.5,0.5,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,Lasso,3,0.6500408163265307,0.2291653022607787,0.5,0.5,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,SNN-FS,3,0.6369795918367347,0.223012347770614,0.5,0.5,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,mRMR,3,0.5728979591836735,0.17646515580238364,0.5,0.5,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,StabilitySelection,3,0.4749714285714286,0.23498444158233317,0.5,0.0,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,geeVerse,3,0.10780408163265305,0.1593621782911063,0.0,0.0,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,RandomForest,5,0.7584851311953353,0.1878539899170676,0.6666666666666666,0.25,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,LongGroupLasso,5,0.7513414965986394,0.1706662420514853,0.6666666666666666,0.3333333333333333,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,Boruta,5,0.7385547133138969,0.17698408545593283,0.6666666666666666,0.25,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,LLSS,5,0.6749449951409136,0.1743766903884401,0.6666666666666666,0.25,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,MutualInfo,5,0.6327210884353742,0.16691369874206766,0.6666666666666666,0.25,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,ElasticNet,5,0.6260272108843538,0.17733418751755559,0.6666666666666666,0.25,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,OutcomeSNN-FS,5,0.6244851311953353,0.17989095701922708,0.6666666666666666,0.25,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,Stabl-RP,5,0.6106336248785229,0.1590764162067381,0.6666666666666666,0.25,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,SNN-FS,5,0.557648202137998,0.17568123943130867,0.6,0.25,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,Lasso,5,0.5410791059280855,0.17166644398511482,0.5,0.25,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,StabilitySelection,5,0.5036174927113702,0.1808242964329731,0.42857142857142855,0.0,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,mRMR,5,0.43079261418853243,0.17000694358131246,0.42857142857142855,0.25,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,geeVerse,5,0.16188532555879495,0.14377009571879354,0.1111111111111111,0.0,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,Stabl-RP,10,0.7201957824488437,0.20609167237236473,0.8181818181818182,0.3,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,LLSS,10,0.7018323445262221,0.1771868339435768,0.6666666666666666,0.3,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,LongGroupLasso,10,0.6279453988188681,0.19446232925610168,0.6,0.25,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,Lasso,10,0.5902781898373736,0.17655647311268133,0.6666666666666666,0.18181818181818182,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,Boruta,10,0.5878344947569438,0.17467440332046158,0.5384615384615384,0.3,1.0,6125,50,5
FPG,Japan T2D,Japan T2D,regression,RandomForest,10,0.5736586298055686,0.16099529800526596,0.5,0.18181818181818182,1.0,6125,50,5
