Task,Cohort,TaskType,Method,PerformanceMean,TaskRank
BRIST1D,BrisT1D,regression,Boruta,1.8343954377299019,10.0
BRIST1D,BrisT1D,regression,ElasticNet,1.833682369051923,8.0
BRIST1D,BrisT1D,regression,LLSS,1.8170696785216187,2.0
BRIST1D,BrisT1D,regression,Lasso,1.8319934596036453,7.0
BRIST1D,BrisT1D,regression,LongGroupLasso,1.8234008196098,4.0
BRIST1D,BrisT1D,regression,MutualInfo,1.825211211842398,6.0
BRIST1D,BrisT1D,regression,OutcomeSNN-FS,1.834992298147917,12.0
BRIST1D,BrisT1D,regression,RandomForest,1.8339679788208947,9.0
BRIST1D,BrisT1D,regression,SNN-FS,1.8344681545148402,11.0
BRIST1D,BrisT1D,regression,StabilitySelection,1.823445786972276,5.0
BRIST1D,BrisT1D,regression,Stabl-RP,1.8380037840224168,13.0
BRIST1D,BrisT1D,regression,geeVerse,1.7751321052954823,1.0
BRIST1D,BrisT1D,regression,mRMR,1.820542292285742,3.0
FPG,Japan T2D,regression,Boruta,27.745147268508767,4.0
FPG,Japan T2D,regression,ElasticNet,27.769472156623852,6.0
FPG,Japan T2D,regression,LLSS,27.611611238114463,2.0
FPG,Japan T2D,regression,Lasso,27.87848108014948,10.0
FPG,Japan T2D,regression,LongGroupLasso,27.675486921924033,3.0
FPG,Japan T2D,regression,MutualInfo,27.827376618038475,8.0
FPG,Japan T2D,regression,OutcomeSNN-FS,27.81955982029643,7.0
FPG,Japan T2D,regression,RandomForest,27.75798354189434,5.0
FPG,Japan T2D,regression,SNN-FS,27.87381953697112,9.0
FPG,Japan T2D,regression,StabilitySelection,31.36099695660721,13.0
FPG,Japan T2D,regression,Stabl-RP,27.579144238854337,1.0
FPG,Japan T2D,regression,geeVerse,30.04544109006645,12.0
FPG,Japan T2D,regression,mRMR,27.94540794310222,11.0
FPG_KARE,Korea KARE,regression,Boruta,11.717119369917345,8.0
FPG_KARE,Korea KARE,regression,ElasticNet,11.625251332074853,2.0
FPG_KARE,Korea KARE,regression,LLSS,11.782378652397883,12.0
FPG_KARE,Korea KARE,regression,Lasso,11.630540168142668,3.0
FPG_KARE,Korea KARE,regression,LongGroupLasso,11.705539084462059,6.0
FPG_KARE,Korea KARE,regression,MutualInfo,11.72814360967082,10.0
FPG_KARE,Korea KARE,regression,OutcomeSNN-FS,11.668513826165178,4.0
FPG_KARE,Korea KARE,regression,RandomForest,11.716537557842011,7.0
FPG_KARE,Korea KARE,regression,SNN-FS,11.672622847499479,5.0
FPG_KARE,Korea KARE,regression,StabilitySelection,12.194959869216683,13.0
FPG_KARE,Korea KARE,regression,Stabl-RP,11.758166183071246,11.0
FPG_KARE,Korea KARE,regression,geeVerse,11.573578692031562,1.0
FPG_KARE,Korea KARE,regression,mRMR,11.724407618885612,9.0
GSE41848_MS,GSE41848,classification,Boruta,0.8394334045584045,1.0
GSE41848_MS,GSE41848,classification,ElasticNet,0.8128400997150997,8.0
GSE41848_MS,GSE41848,classification,LLSS,0.8121709401709402,9.0
GSE41848_MS,GSE41848,classification,Lasso,0.8296716524216525,4.0
GSE41848_MS,GSE41848,classification,LongGroupLasso,0.8222418091168092,7.0
GSE41848_MS,GSE41848,classification,MutualInfo,0.7570580484330485,12.0
GSE41848_MS,GSE41848,classification,OutcomeSNN-FS,0.8370434472934473,2.0
GSE41848_MS,GSE41848,classification,RandomForest,0.8265861823361823,5.0
GSE41848_MS,GSE41848,classification,SNN-FS,0.8260477207977207,6.0
GSE41848_MS,GSE41848,classification,StabilitySelection,0.8080349002849003,11.0
GSE41848_MS,GSE41848,classification,Stabl-RP,0.810650284900285,10.0
GSE41848_MS,GSE41848,classification,mRMR,0.8329341168091168,3.0
GSE41849_MS,GSE41849,classification,Boruta,0.7755200000000001,6.0
GSE41849_MS,GSE41849,classification,ElasticNet,0.61,12.0
GSE41849_MS,GSE41849,classification,LLSS,0.8013866666666667,1.0
GSE41849_MS,GSE41849,classification,Lasso,0.63552,11.0
GSE41849_MS,GSE41849,classification,LongGroupLasso,0.7852266666666666,4.0
GSE41849_MS,GSE41849,classification,MutualInfo,0.79088,3.0
GSE41849_MS,GSE41849,classification,OutcomeSNN-FS,0.77,7.0
GSE41849_MS,GSE41849,classification,RandomForest,0.76416,8.0
GSE41849_MS,GSE41849,classification,SNN-FS,0.6706133333333334,9.0
GSE41849_MS,GSE41849,classification,StabilitySelection,0.66888,10.0
GSE41849_MS,GSE41849,classification,Stabl-RP,0.7843466666666667,5.0
GSE41849_MS,GSE41849,classification,mRMR,0.7915733333333335,2.0
GSE48023_H1N1,GSE48023,regression,Boruta,1.4240287779464245,9.0
GSE48023_H1N1,GSE48023,regression,ElasticNet,1.4135760801047261,6.0
GSE48023_H1N1,GSE48023,regression,LLSS,1.3660920044745837,3.0
GSE48023_H1N1,GSE48023,regression,Lasso,1.4300490392108387,12.0
GSE48023_H1N1,GSE48023,regression,LongGroupLasso,1.415265872462073,7.0
GSE48023_H1N1,GSE48023,regression,MutualInfo,1.3891297096807471,5.0
GSE48023_H1N1,GSE48023,regression,OutcomeSNN-FS,1.4199904465531323,8.0
GSE48023_H1N1,GSE48023,regression,RandomForest,1.43019248659235,13.0
GSE48023_H1N1,GSE48023,regression,SNN-FS,1.4264071760846249,10.0
GSE48023_H1N1,GSE48023,regression,StabilitySelection,1.4299198897185008,11.0
GSE48023_H1N1,GSE48023,regression,Stabl-RP,1.3605045281752584,2.0
