Task,Dataset,Cohort,TaskType,Outcome,Method,Metric,Mean,SD,Repeats,MeanMAE,SDMAE,MeanAUPRC,SDAUPRC
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,Boruta,AUROC,0.8394334045584046,0.029728096283308473,50,,,0.8948923601997132,0.02198200227741726
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,LLSS,AUROC,0.8013866666666668,0.033301165430771634,50,,,0.8513091438191438,0.02765942042090714
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,LLSS,AUROC,0.8873863636363636,0.04387158430112719,50,,,0.7506969976085643,0.06636659241182406
PE,Stanford PE,Stanford PE,classification,PE versus term control,LongGroupLasso,AUROC,0.8126543209876544,0.062209169556804625,50,,,0.8169614789568365,0.06737765659447768
PE_LOPE_MATCHED,Stanford PE,Stanford PE,classification,Late-onset PE versus term control,LLSS,AUROC,0.7112820512820514,0.06802171392050117,50,,,0.6329251091000619,0.07404728129201113
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,PGEE,RMSE,1.7493679997435163,0.051062378507088634,50,1.3396308495045408,0.04059121945808628,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,Stabl-RP,RMSE,27.579144238854333,0.140168390395654,50,20.17569348460696,0.09993478496937848,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,PGEE,RMSE,11.550425173534501,0.07109319413015984,50,7.5696744566317475,0.03598395493293422,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",geeVerse,RMSE,1.3571860612592765,0.029113144430567353,50,1.0927445018693458,0.02717338335103638,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,OutcomeSNN-FS,RMSE,0.7620962533632378,0.009982966218556561,50,0.5747566391893417,0.008646061321571731,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,glmmLasso,RMSE,1.0448694951230686,0.014949763455339842,50,0.8137514551420808,0.011411825420542077,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,ElasticNet,RMSE,0.7237946725166597,0.003799797782519845,50,0.6135529366949244,0.0037686373750332887,,
TRA,Korea COVID-19 (CODA),Korea COVID-19,regression,TCR-alpha clonal diversity,Stabl-RP,RMSE,1.0459950706331598,0.010862181869280086,50,0.8220200755573995,0.00902949982323249,,
TRB,Korea COVID-19 (CODA),Korea COVID-19,regression,TCR-beta clonal diversity,glmmLasso,RMSE,1.1959123841235189,0.017013432945316438,50,0.9632943102596597,0.012949616774777814,,
